state_district,election,name,party,incumbent_challenger_open,receipts,from_individuals,from_committees,from_candidate,disbursements,cash_on_hand,debts,district,election_year,total_pop,male_pop_percent,female_pop_percent,under_five_percent,five_to_nine_percent,ten_to_fourteen_percent,fifteen_nineteen_percent,twenty_to_twentyfour_percent,twentyfive_to_thirtyfour_percent,thirtyfive_to_fortyfour_percent,fortyfive_to_fiftyfour_percent,fiftyfive_to_fiftynine_percent,sixty_to_sixtyfour_percent,sixtyfive_to_seventyfour_percent,seventyfive_to_eightyfour_percent,over_eightyfive_percent,median_age,eighteen_and_over_percent,twentyone_and_over_percent,sixtytwo_and_over_percent,sixtyfive_and_over_percent,eighteen_and_over_male_percent,eighteen_and_over_female_percent,sixtyfive_and_over_male_percent,sixtyfive_and_over_female_percent,white_pop_percent,black_pop_percent,american_indian_alaska_native_pop_percent,asian_pop_percent,native_hawaiian_pacific_islander_pop_percent,other_race_pop_percent,hispanic_pop_percent,total_housing_units,last_name,first_name,prefix,first_last_name,district_from_length,candidate_name,spent,won,lost,incumbent,challenger,open_seat,election_year_from_length,party_from_length,year,Last_name,firstlast_name
AL07,2014,SEWELL TERRI A.,Democratic Party,Incumbent,1261396.32,401717.58,859167.44,0,1148283.23,490726.96,0,AL07,2014,666880,47.6,52.4,6.4,5.8,6.3,8,9.4,13.1,11.4,13,6.7,6.2,7.4,4.3,2,35.7,77.7,71,17.5,13.7,46.4,53.6,40.6,59.4,32.6,62.9,0.1,0.6,0.1,0.3,2.4,321857,Sewell,Terri,A.,Terri Sewell,AL07,Terri A. Sewell,"$1,468,012 ",1,0,1,0,0,2014,Democrat,2011,Sewell,Terri Sewell
CA34,2014,BECERRA XAVIER,Democratic Party,Incumbent,1357430.79,539493.23,790196.86,0,1066266.13,1192944.11,0,CA34,2014,712425,51.9,48.1,6.4,6.1,5.6,6.9,8.5,18.6,15.7,12.5,5.4,4.1,5.8,3.1,1.3,33.7,77.9,73.1,12.7,10.2,52,48,42.2,57.8,9.8,4.2,0.1,18.3,0.3,0.3,65.9,249169,Becerra,Xavier,,Xavier Becerra,CA34,Xavier Becerra,"$1,465,622 ",1,0,1,0,0,2014,Democrat,1993,Becerra,Xavier Becerra
TN07,2014,BLACKBURN MARSHA MRS.,Republican Party,Incumbent,1602806.39,660271.94,934962.59,0,872265.2,1950696.8,7402.28,TN07,2014,728823,49.8,50.2,6.6,7.4,7.2,6.7,6.8,12.3,13.5,13.8,6.3,5.8,8,4.1,1.4,37.1,74.7,70.4,16.8,13.5,49.2,50.8,44.9,55.1,81.6,9.4,0.2,1.6,0,0.2,4.7,307947,Blackburn,Marsha,Mrs.,Marsha Blackburn,TN07,Marsha Blackburn,"$1,444,428 ",1,0,1,0,0,2014,Republican,2003,Blackburn,Marsha Blackburn
NY10,2014,NADLER JERROLD L. MR.,Democratic Party,Incumbent,873540.4,546496.91,324700,0,959686.26,368150.66,0,NY10,2014,716682,49.7,50.3,6.9,5.4,4.6,4.8,6.9,21.3,14.4,12,6,5.1,7.1,3.6,2,35,80.4,77.1,15.8,12.7,48.9,51.1,42.6,57.4,63.8,4.1,0.2,17.9,0,0.3,12.1,357284,Nadler,Jerrold,L. Mr.,Jerrold Nadler,NY10,Jerrold Nadler,"$1,276,209 ",1,0,1,0,0,2014,Democrat,1992,Nadler,Jerrold Nadler
TX03,2014,JOHNSON SAM MR.,Republican Party,Incumbent,728552.37,338831.89,386968.02,0,979865.77,545673.56,0,TX03,2014,765486,49.1,50.9,6.6,8.2,8.2,7.1,5.5,13,16.7,15.1,6,4.3,5.9,2.6,0.8,35.9,72.2,68.8,11.6,9.2,48.3,51.7,44,56,60.3,8.9,0.3,12.9,0.1,0.2,15.1,289221,Johnson,Sam,Mr.,Sam Johnson,TX03,Sam Johnson,"$1,261,811 ",1,0,1,0,0,2014,Republican,1991,Johnson,Sam Johnson
OK03,2014,LUCAS FRANK D.,Republican Party,Incumbent,1045823.85,271104.58,768063.2,0,1019441.57,185050.98,0,OK03,2014,767552,50.6,49.4,6.6,7.3,6.8,7.1,7.6,13.1,11.6,12.9,6.8,5.6,8.3,4.6,1.7,36.2,75.5,70.5,18,14.7,50.3,49.7,44.8,55.2,75.1,3.6,5.7,1.4,0.3,0.1,9.3,330151,Lucas,Frank,D.,Frank Lucas,OK03,Frank D. Lucas,"$1,253,709 ",1,0,1,0,0,2014,Republican,1994,Lucas,Frank Lucas
MA01,2014,NEAL RICHARD E MR.,Democratic Party,Incumbent,1306965.42,239392.93,1044609.91,0,930161.74,2443397.68,0,MA01,2014,729965,48.4,51.6,5.3,5.3,6.6,7.3,7.3,11.8,11.7,14.6,7.6,6.5,8.6,4.6,2.7,40.4,78.8,73.8,19.9,16,47.5,52.5,43.1,56.9,74.4,5.7,0.1,1.7,0.1,0.2,16.3,317802,Neal,Richard,E Mr.,Richard Neal,MA01,Richard E. Neal,"$1,241,116 ",1,0,1,0,0,2014,Democrat,1989,Neal,Richard Neal
TX33,2014,VEASEY MARC ALLISON MR.,Democratic Party,Incumbent,1132175.73,587158.67,535249.98,0,947623.83,204758.59,0,TX33,2014,725761,50.4,49.6,9.6,9.8,8.4,8,8.2,15.4,14,11.5,4.4,3.2,4.6,2.2,0.7,28.9,67.2,62.5,9.4,7.6,50.6,49.4,42.8,57.2,15.8,16.8,0.1,2.1,0,0.2,64.6,241120,Veasey,Marc,Allison Mr.,Marc Veasey,TX33,Marc Veasey,"$1,224,552 ",1,0,1,0,0,2014,Democrat,2013,Veasey,Marc Veasey
TX20,2014,CASTRO JOAQUIN MR.,Democratic Party,Incumbent,960028.24,488188.11,471800,0,750006.92,357075.55,0,TX20,2014,752996,49.5,50.5,7.2,7.9,6.9,8.1,8.6,14.8,14.2,12.6,5.2,4.4,5.8,3.2,1.1,32.6,73.4,68,12.5,10.1,48.8,51.2,43.6,56.4,21.6,5.3,0,3.2,0.1,0.2,68.3,270108,Castro,Joaquin,Mr.,Joaquin Castro,TX20,Joaquin Castro,"$1,147,967 ",1,0,1,0,0,2014,Democrat,2013,Castro,Joaquin Castro
OK04,2014,COLE TOM,Republican Party,Incumbent,995806.29,576779.58,406880.22,0,523720.7,1264715.76,0,OK04,2014,776394,49.9,50.1,6.5,6.9,6.6,7.3,8.5,13.7,12.7,12.7,6.3,5.5,7.6,4.2,1.5,35.4,76.1,70.8,16.6,13.3,49.4,50.6,44.8,55.2,72.1,6.4,5.1,2.2,0.1,0.1,7.9,326592,Cole,Tom,,Tom Cole,OK04,Tom Cole,"$1,147,516 ",1,0,1,0,0,2014,Republican,2003,Cole,Tom Cole
GA13,2014,SCOTT DAVID ALBERT,Democratic Party,Incumbent,723468.47,81010,624490,10700,834854.04,72694.13,76570,GA13,2014,718624,46.8,53.2,7,7.9,8,7,6.3,13.6,14.5,15,6.3,5.3,6,2.3,0.9,35.2,72.5,68.9,12.5,9.2,46,54,42.2,57.8,29.7,55.4,0.1,2.7,0,0.3,9.9,277894,Scott,David,Albert,David Scott,GA13,David Scott,"$1,146,654 ",1,0,1,0,0,2014,Democrat,2003,Scott,David Scott
MS02,2014,THOMPSON BENNIE G.,Democratic Party,Incumbent,890799.57,163228,726795.34,0,726550.75,1360538.7,0,MS02,2014,726159,47.8,52.2,6.9,7.1,7.3,7.8,7.7,12.8,11.7,13,7,5.5,7.7,3.9,1.5,35.4,74.4,69.1,16.5,13.2,46.9,53.1,41.7,58.3,31.5,65.1,0.3,0.5,0,0,1.9,306376,Thompson,Bennie,G.,Bennie Thompson,MS02,Bennie G. Thompson,"$1,138,673 ",1,0,1,0,0,2014,Democrat,1993,Thompson,Bennie Thompson
PA11,2014,BARLETTA LOU,Republican Party,Incumbent,964035.12,497610.75,465888.61,0,697374.7,274557.44,181343.96,PA11,2014,705647,49.2,50.8,5.3,5.7,5.5,6.8,6.8,12.2,11.6,14.5,7.5,6.6,9.5,5.6,2.5,42.1,79.6,75.3,21.4,17.6,48.7,51.3,43.1,56.9,86.1,4.8,0.2,1.4,0,0.1,5.9,321397,Barletta,Lou,,Lou Barletta,PA11,Lou Barletta,"$1,101,031 ",1,0,1,0,0,2014,Republican,2011,Barletta,Lou Barletta
TX26,2014,BURGESS MICHAEL C. DR.,Republican Party,Incumbent,908879.99,199292.31,700153.38,0,795941.18,208373.67,0,TX26,2014,768246,49.4,50.6,6.9,7.5,8.9,7.4,6.6,13.7,16.5,14.3,5.6,4.4,5.3,2,0.8,34.4,72,67.9,10.9,8.2,48.8,51.2,44.5,55.5,66.5,7,0.2,5,0.1,0.3,17.5,275107,Burgess,Michael,C. Dr.,Michael Burgess,TX26,Michael Burgess,"$1,068,922 ",1,0,1,0,0,2014,Republican,2003,Burgess,Michael Burgess
GA03,2014,WESTMORELAND LYNN A.,Republican Party,Incumbent,757199.52,309339,434097.92,0,807326.11,374628.51,0,GA03,2014,713143,48.3,51.7,6,7.6,7.3,7.7,6.5,12.3,13.2,14.5,6.6,5.2,7.9,3.9,1.3,37.2,74.6,70.2,16.4,13.1,47.3,52.7,43.5,56.5,66.4,23.7,0.2,1.9,0,0.4,5.4,284940,Westmoreland,Lynn,A.,Lynn Westmoreland,GA03,Lynn A. Westmoreland,"$1,037,842 ",1,0,1,0,0,2014,Republican,2005,Westmoreland,Lynn Westmoreland
NY16,2014,ENGEL ELIOT L. REP.,Democratic Party,Incumbent,923965,597990,325975,0,648994.5,326256.79,0,NY16,2014,730795,46.3,53.7,6.6,6.6,6.2,6.6,6.9,12.1,12.5,14.7,6.6,5.5,8.2,4.9,2.6,39.4,76.7,72.4,18.9,15.7,44.7,55.3,40.8,59.2,39.4,30.3,0.1,4.3,0.1,0.6,23.4,291686,Engel,Eliot,L. Rep.,Eliot Engel,NY16,Eliot L. Engel,"$1,015,031 ",1,0,1,0,0,2014,Democrat,1989,Engel,Eliot Engel
SC02,2014,WILSON JOE THE HON.,Republican Party,Incumbent,823383.48,477786.67,328376.76,0,604868.68,223694.17,0,SC02,2014,671907,48.9,51.1,6,6.7,6.6,7,6.8,13,12.9,14,7,6.2,8.4,4,1.5,38.5,76.9,72.3,17.6,13.9,48.4,51.6,43.7,56.3,67.6,23.2,0.2,1.8,0,0.1,5.3,289493,Wilson,Joe,The Hon.,Joe Wilson,SC02,Joe Wilson,"$964,753 ",1,0,1,0,0,2014,Republican,2001,Wilson,Joe Wilson
OK02,2014,MULLIN MARKWAYNE MR.,Republican Party,Incumbent,942845.83,536190,406655.83,0,644571.98,321376.34,228000,OK02,2014,747973,49.5,50.5,6.2,6.9,6.7,7,6.5,11.4,11.9,13.1,6.7,6,10.1,5.4,1.9,39.6,76.1,71.8,20.8,17.5,48.9,51.1,45.5,54.5,65.3,3.5,16.1,0.5,0.1,0.1,4.7,349765,Mullin,Markwayne,Mr.,Markwayne Mullin,OK02,Markwayne Mullin,"$955,584 ",1,0,1,0,0,2014,Republican,2013,Mullin,Markwayne Mullin
CA29,2014,CARDENAS TONY,Democratic Party,Incumbent,668353.27,365114,298302.36,0,647048.41,155591.93,13280.19,CA29,2014,692267,49.5,50.5,6.7,6.9,6.8,7.2,8.5,16.7,15.2,13.3,5.4,4.4,5.2,2.6,1.1,33,75.2,70.9,11.2,8.9,49,51,42.4,57.6,17.8,3.8,0.1,8,0.1,0.2,68.7,207749,Cardenas,Tony,,Tony Cardenas,CA29,Tony Cardenas,"$953,305 ",1,0,1,0,0,2014,Democrat,2013,Cardenas,Tony Cardenas
NC09,2014,PITTENGER ROBERT M. THE HON.,Republican Party,Incumbent,856380.9,302629.99,367789.16,49501.51,776305.4,83233.91,663000,NC09,2014,780211,48.6,51.4,6.2,7.3,7.5,6.3,5.2,13.1,16.2,15.5,6.2,5,6.9,3.4,1.2,38.2,74.8,71.8,14.3,11.5,47.5,52.5,42.2,57.8,73.2,12.5,0.3,4.2,0,0.1,7.8,318455,Pittenger,Robert,M. The Hon.,Robert Pittenger,NC09,Robert Pittenger,"$952,894 ",1,0,1,0,0,2014,Republican,2013,Pittenger,Robert Pittenger
TX28,2014,CUELLAR HENRY R.,Democratic Party,Incumbent,1174594.86,583741.44,569392.29,13500,655757.19,1264207.31,0,TX28,2014,724080,49,51,9,8.4,8.8,8.4,7.3,12.6,13.3,12.3,4.7,4.6,6.2,3.3,1.1,31.4,68.4,63.8,13.5,10.6,48.7,51.3,45.1,54.9,16.8,3.3,0.2,0.6,0.1,0.1,77.8,240959,Cuellar,Henry,R.,Henry Cuellar,TX28,Henry Cuellar,"$937,077 ",1,0,1,0,0,2014,Democrat,2005,Cuellar,Henry Cuellar
OK05,2014,TURNER MICHAEL JEFFREY,Republican Party,Open,745070,20070,0,725000,732745.23,12324.77,250000,OK05,2014,785441,49,51,7.7,7.3,6.8,6.3,7.4,15.4,12.3,12.5,6.6,5.1,7.2,3.7,1.7,34.4,74.6,70.5,15.6,12.6,48.2,51.8,43,57,58.9,13.5,4.2,2.8,0.1,0.1,15.5,338112,Turner,Michael,Jeffrey,Michael Turner,OH10,Michael R. Turner,"$931,475 ",1,0,1,0,0,2014,Republican,2003,Turner,Michael Turner
OH10,2014,TURNER MICHAEL R REP,Republican Party,Incumbent,693687.73,361233.48,331903.96,0,592043.69,375315.01,6995.93,OH10,2014,723987,48.2,51.8,5.9,6.4,6,7,7.5,12.7,11.5,13.7,7.4,5.8,8.7,5,2.4,38.9,77.9,73,19.5,16,47.5,52.5,42.5,57.5,75.6,16.8,0.1,2,0,0.2,2.5,333902,Turner,Michael,R Rep,Michael Turner,OH10,Michael R. Turner,"$931,475 ",1,0,1,0,0,2014,Republican,2003,Turner,Michael Turner
AL04,2014,ADERHOLT ROBERT B. REP.,Republican Party,Incumbent,891358.59,336820.05,553128.84,0,690607.59,353632.82,0,AL04,2014,685175,48.6,51.4,6,6.2,6.8,6.1,6.5,11.8,12.9,13.8,6.8,6.5,9.8,5,1.8,40.3,77.3,73.9,20.6,16.7,48.2,51.8,43.5,56.5,83.8,7.3,0.7,0.6,0,0,6.2,310413,Aderholt,Robert,B. Rep.,Robert Aderholt,AL04,Robert B. Aderholt,"$909,880 ",1,0,1,0,0,2014,Republican,1997,Aderholt,Robert Aderholt
NY05,2014,MEEKS GREGORY W.,Democratic Party,Incumbent,689641.11,130482.63,557300,0,609425.13,110268.21,6000,NY05,2014,768603,46.5,53.5,6.8,6.1,6.2,6.9,7.9,14.1,12.7,15,6.9,4.9,7.2,3.9,1.4,36.6,76.7,72.3,15.1,12.5,45.3,54.7,41.1,58.9,11.5,47.8,0.4,13.2,0.1,4.8,19.1,246762,Meeks,Gregory,W.,Gregory Meeks,NY05,Gregory W. Meeks,"$882,334 ",1,0,1,0,0,2014,Democrat,1998,Meeks,Gregory Meeks
NY22,2014,HANNA RICHARD,Republican Party,Incumbent,1187127.44,406979.89,477153.79,295000,767005.53,457147.21,544000,NY22,2014,713145,49.3,50.7,5.1,5.6,6.4,7.4,8,11,11.1,14.6,7.2,6.8,8.9,5.3,2.5,40.8,79.1,73.5,20.6,16.7,49,51,44.2,55.8,88.6,3.6,0.2,2.4,0,0.1,3.5,319248,Hanna,Richard,,Richard Hanna,NY22,Richard Hanna,"$877,661 ",1,0,1,0,0,2014,Republican,2011,Hanna,Richard Hanna
PA14,2014,DOYLE MIKE,Democratic Party,Incumbent,620036.2,133667,483150,0,584887.58,248730.34,0,PA14,2014,704276,47.5,52.5,4.9,4.8,4.5,6.3,9,16.2,10.7,12.6,7.8,6.6,8.1,5.5,2.9,38.4,82.7,77.7,20.2,16.5,46.7,53.3,39.4,60.6,70.9,21.3,0.1,2.8,0,0.2,1.9,357993,Doyle,Mike,,Mike Doyle,PA14,Mike Doyle,"$861,701 ",1,0,1,0,0,2014,Democrat,1995,Doyle,Mike Doyle
HI02,2014,GABBARD TULSI,Democratic Party,Incumbent,1344946.52,1008546.05,326257,0,692718.42,964611.4,9500,HI02,2014,702028,50.7,49.3,6.7,6.1,6.8,6,7.7,13.9,12.1,12.5,6.9,6.6,8.5,4,2,37,76.6,73.1,18.1,14.5,50.5,49.5,45.8,54.2,29.6,1.5,0.2,24.7,10.4,0,11.3,270116,Gabbard,Tulsi,,Tulsi Gabbard,HI02,Tulsi Gabbard,"$857,985 ",1,0,1,0,0,2014,Democrat,2013,Gabbard,Tulsi Gabbard
FL27,2014,ROS-LEHTINEN ILEANA,Republican Party,Incumbent,761592.04,497986.23,252464.13,0,644048,1908139.07,0,FL27,2014,719632,49.3,50.7,6,5.7,5.6,6,6.1,13.7,14.7,14.5,6.1,5.3,8.3,5.3,2.8,39.9,79.2,75.5,19.2,16.4,48.3,51.7,43,57,16.5,5.9,0.1,1.3,0,0.1,75.4,273792,Ros-Lehtinen,Ileana,,Ileana Ros-Lehtinen,FL27,Ileana Ros-Lehtinen,"$850,120 ",1,0,1,0,0,2014,Republican,1989,Ros-Lehtinen,Ileana Ros-Lehtinen
TX17,2014,FLORES BILL,Republican Party,Incumbent,1299631.51,530864.06,513426.85,250076.73,937578.51,568175.19,345373.3,TX17,2014,726128,49.8,50.2,6.7,6.5,6.3,8.2,11.7,15.1,12,11.7,5.7,4.6,6.6,3.3,1.7,31.7,77,69.6,13.9,11.5,48.9,51.1,44.1,55.9,56.3,12.6,0.2,4,0,0,24.7,305402,Flores,Bill,,Bill Flores,TX17,Bill Flores,"$809,522 ",1,0,1,0,0,2014,Republican,2011,Flores,Bill Flores
LA04,2014,FLEMING JOHN C MR. JR.,Republican Party,Incumbent,1301621.17,1110530.37,188975,0,690433.19,1092399.41,148735.08,LA04,2014,762517,49,51,7,7,6.7,6.7,7.5,13.7,12.1,12.7,6.7,5.8,7.9,4.4,1.8,36,75.3,71,17.3,14.1,48.7,51.3,43.5,56.5,59.3,33.5,0.8,0.8,0,0.1,3.9,339222,Fleming,John,C Mr. Jr.,John Fleming,LA04,John Fleming,"$803,077 ",1,0,1,0,0,2014,Republican,2009,Fleming,John Fleming
CA51,2014,VARGAS JUAN C.,Democratic Party,Incumbent,531963.22,90874,436856.86,0,473499.09,109703.44,175178.49,CA51,2014,743982,50.8,49.2,8.1,7.9,7.2,8.6,9.3,15.3,12.4,11.3,5.1,4.5,5.6,3.5,1.1,30.4,71.7,66.3,13,10.3,50.4,49.6,42.8,57.2,13.1,6.7,0.5,7.7,0.3,0.1,69.9,218441,Vargas,Juan,C.,Juan Vargas,CA51,Juan Vargas,"$801,518 ",1,0,1,0,0,2014,Democrat,2013,Vargas,Juan Vargas
MI10,2014,MILLER CANDICE S.,Republican Party,Incumbent,662093.97,244560.34,414560.44,0,469211.58,968850.99,0,MI10,2014,711342,49.8,50.2,4.8,6.4,6.9,6.8,5.8,10.6,12.7,16.4,7.8,6.3,9,4.4,2.2,42.7,77.4,73.9,19.3,15.6,49.3,50.7,45.1,54.9,90.7,2.8,0.2,1.4,0,0,3,307729,Miller,Candice,S.,Candice Miller,MI10,Candice S. Miller,"$795,742 ",1,0,1,0,0,2014,Republican,2003,Miller,Candice Miller
MD07,2014,CUMMINGS ELIJAH E,Democratic Party,Incumbent,696507.95,243020.3,445807,0,522292.05,954268.28,0,MD07,2014,724692,47.8,52.2,6.4,6.1,6.1,6.9,7.5,14.3,11.6,14.8,6.9,5.9,7.6,4,1.9,37.1,77.6,72.9,16.8,13.4,46.8,53.2,40.4,59.6,33.7,54,0.3,6.3,0,0.3,3.6,320376,Cummings,Elijah,E,Elijah Cummings,MD07,Elijah E. Cummings,"$787,933 ",1,0,1,0,0,2014,Democrat,1996,Cummings,Elijah Cummings
MS03,2014,HARPER GREGG,Republican Party,Incumbent,856822.66,482151,341950,0,499791.59,660596.95,0,MS03,2014,750332,48.2,51.8,6.5,6.8,6.9,7.4,6.9,12.5,13.4,12.7,6.4,6.1,8,4.5,1.9,37.2,75.8,70.8,18,14.4,47.4,52.6,42.3,57.7,60.1,35.1,0.9,0.8,0,0,2.2,325878,Harper,Gregg,,Gregg Harper,MS03,Gregg Harper,"$770,335 ",1,0,1,0,0,2014,Republican,2009,Harper,Gregg Harper
MT01,2014,LEWIS JOHN,Democratic Party,Open,1030141.03,716353.98,296075,0,407430.22,622710.81,0,MT01,2014,1015165,49.9,50.1,6,6.4,5.9,6.7,7.1,12.5,11.3,13.2,7.8,6.8,9.3,4.9,2.1,39.6,77.9,73.4,20.1,16.3,49.8,50.2,47,53,87,0.3,6.6,0.6,0,0,3.3,485767,Lewis,John,,John Lewis,GA05,John Lewis,"$745,565 ",1,0,1,0,0,2014,Democrat,1987,Lewis,John Lewis
GA05,2014,LEWIS JOHN R.,Democratic Party,Incumbent,447674.78,84475.41,357674.95,0,445555.87,208841.3,0,GA05,2014,719920,49.1,50.9,7,6.1,5.3,7,10,18,15,12.2,4.9,4.5,6,2.8,1.1,33.2,78.4,72.5,12.5,9.9,48.2,51.8,41,59,28.9,57.3,0.2,3.9,0,0.2,7.7,344729,Lewis,John,R.,John Lewis,GA05,John Lewis,"$745,565 ",1,0,1,0,0,2014,Democrat,1987,Lewis,John Lewis
