District,Winner,Winner Spent,Secong-Highest Vote-Getter,Runner-Up Spent,Ratio
NV04,Steven Horsford,"$2,240,360 ",Cresent Hardy,"$870,725 ",More than 2:1 and Up to 5:1
PA04,Madeleine Dean,"$1,203,781 ",Dan David,"$507,947 ",More than 2:1 and Up to 5:1
VA06,Ben Cline,"$970,756 ",Jennifer Lewis,"$423,948 ",More than 2:1 and Up to 5:1
ND01,Kelly Armstrong,"$1,651,782 ",Mac Schneider,"$758,660 ",More than 2:1 and Up to 5:1
NV03,Susie Lee,"$5,036,154 ",Danny Tarkanian,"$2,265,798 ",More than 2:1 and Up to 5:1
SD01,Dusty Johnson,"$1,711,341 ",Tim Bjorkman,"$821,275 ",More than 2:1 and Up to 5:1
FL27,Donna Shalala,"$4,049,832 ",Maria Elvira Salazar,"$2,042,401 ",Up to 2:1
NY25,Joseph D Morelle,"$1,820,956 ",Jim Maxwell,"$987,080 ",Up to 2:1
NH01,Chris Pappas,"$2,097,341 ",Eddie Edwards,"$1,204,431 ",Up to 2:1
WA08,Kim Schrier,"$8,057,758 ",Dino Rossi,"$4,780,546 ",Up to 2:1
AZ09,Greg Stanton,"$2,459,750 ",Steve Ferrara,"$1,502,064 ",Up to 2:1
MI11,Haley Stevens,"$4,149,627 ",Lena Epstein,"$2,636,897 ",Up to 2:1
PA14,Guy Reschenthaler,"$1,041,079 ",Bibiana Boerio,"$663,310 ",Up to 2:1
SC01,Joe Cunningham,"$2,388,236 ",Katherine Arrington,"$1,563,049 ",Up to 2:1
PA09,Dan Meuser,"$2,228,407 ",Denny Wolff,"$1,539,036 ",Up to 2:1
TX02,Dan Crenshaw,"$1,817,750 ",Todd Litton,"$1,494,195 ",Up to 2:1
TX06,Ron Wright,"$703,364 ",Jana Lynne Sanchez,"$704,424 ",Outspent less than 2:1
MN08,Pete Stauber,"$1,731,246 ",Joe Radinovich,"$2,361,547 ",Outspent less than 2:1
FL06,Michael Waltz,"$1,980,941 ",Nancy Soderberg,"$3,183,648 ",Outspent less than 2:1
WV03,Carol Miller,"$1,822,330 ",Richard Ojeda,"$2,835,819 ",Outspent less than 2:1
TX21,Chip Roy,"$1,747,592 ",Joseph Kopser,"$3,128,954 ",Outspent less than 2:1
VA05,Denver Riggleman,"$1,922,423 ",Leslie Cockburn,"$3,498,113 ",Outspent less than 2:1
FL15,Ross Spano,"$928,168 ",Kristen Carlson,"$2,060,049 ",Outspent 2:1 to 5:1
MN01,Jim Hagedorn,"$1,584,056 ",Daniel Feehan,"$4,117,707 ",Outspent 2:1 to 5:1
NC09,Mark Harris,"$2,088,262 ",Dan McCready,"$6,280,744 ",Outspent 2:1 to 5:1
KS02,Steve Watkins,"$1,187,111 ",Paul Davis,"$3,926,855 ",Outspent 2:1 to 5:1
WI01,Bryan Steil,"$2,279,774 ",Randy Bryce,"$8,584,300 ",Outspent 2:1 to 5:1
