state_district,election,name,party,incumbent_challenger_open,receipts,from_individuals,from_committees,from_candidate,disbursements,cash_on_hand,debts
CA03,2016,DETERT RYAN,Republican Party,Challenger,10325.81,1482.59,0.0,8843.22,10325.81,0.0,0.0
CA04,2016,MCCLINTOCK THOMAS,Republican Party,Incumbent,790423.5,713217.49,76194.45,0.0,698146.72,309375.47,0.0
CA04,2016,DERLET ROBERT WAYNE,Democratic Party,Challenger,30852.1,22575.53,3600.0,1000.0,25906.2,4945.9,0.0
CA05,2016,THOMPSON MIKE MR.,Democratic Party,Incumbent,1487180.86,564657.36,905845.06,0.0,1328243.67,1635118.87,18326.88
CA05,2016,PALSSON NILS,Democratic Party,Challenger,10235.24,4585.24,0.0,0.0,8299.31,1935.93,16812.3
CA05,2016,SANTAMARIA CARLOS J,Republican Party,Challenger,2700.0,2700.0,0.0,0.0,2352.74,347.26,0.0
CA06,2016,MATSUI DORIS,Democratic Party,Incumbent,904927.98,266537.87,638129.5,0.0,637801.22,542360.77,1400.0
CA06,2016,EVANS ROBERT S,Republican Party,Challenger,2805.0,2705.0,0.0,100.0,2350.67,454.33,100.0
CA07,2016,BERA AMERISH,Democratic Party,Incumbent,2572192.02,1578254.69,981836.06,4591.42,1083488.82,1641209.53,319800.0
CA07,2016,JONES SCOTT,Republican Party,Challenger,624272.09,476128.91,140353.87,0.0,224412.58,400375.71,23087.65
CA08,2016,COOK PAUL,Republican Party,Incumbent,830697.27,302998.0,526341.19,0.0,768080.47,598839.44,1500.0
CA08,2016,DONNELLY TIM,Republican Party,Challenger,76528.66,74895.15,1500.0,10.0,75808.25,720.41,13591.89
CA08,2016,DR RITA RAMIREZ,Democratic Party,Challenger,17373.96,2319.31,0.0,14774.65,16706.61,667.35,14774.65
CA09,2016,MCNERNEY JERRY,Democratic Party,Incumbent,896602.68,528579.51,366092.56,0.0,389986.29,653629.7,2954.15
CA09,2016,AMADOR ANTONIO C,Republican Party,Challenger,23533.25,15340.0,0.0,8193.25,19979.44,5225.65,11449.59
CA09,2016,NANCE KATHRYN D,Republican Party,Challenger,65248.32,60545.96,4599.0,100.0,65123.37,124.95,3586.0
CA10,2016,DENHAM JEFF,Republican Party,Incumbent,2290987.46,766732.41,1392801.36,0.0,894671.11,2560746.68,0.0
CA10,2016,BARKLEY MICHAEL JAMES,Democratic Party,Challenger,13098.93,82.6,0.0,12928.25,13335.58,344.17,32405.37
CA10,2016,EGGMAN MICHAEL RAY,Democratic Party,Challenger,762475.6,562756.0,192274.96,0.0,303780.44,461783.86,0.0
CA11,2016,DESAULNIER MARK,Democratic Party,Incumbent,469821.3,228819.37,237730.0,0.0,258751.04,231896.53,0.0
CA11,2016,PETERSEN ROGER,Republican Party,Challenger,3225.0,3225.0,0.0,0.0,2812.2,412.8,0.0
CA12,2016,PELOSI NANCY,Democratic Party,Incumbent,2767076.44,1588448.44,933354.27,0.0,2674715.49,1073520.88,0.0
CA12,2016,HERMANSON BARRY,Other,Challenger,8958.83,200.0,0.0,8758.83,7430.36,1528.47,6258.83
CA12,2016,MILLER ROBERT,Republican Party,Challenger,10905.38,5283.0,0.0,5622.38,10905.38,0.0,0.0
CA12,2016,PICUS PRESTON,Other,Challenger,20498.15,20498.15,0.0,0.0,11860.36,-2090.88,0.0
CA13,2016,LEE BARBARA,Democratic Party,Incumbent,851065.81,596119.48,251490.0,0.0,798709.04,136047.37,4401.75
CA13,2016,CARO SUZANNE M,Republican Party,Challenger,4150.0,3050.0,0.0,1100.0,3224.81,925.19,0.0
CA14,2016,SPEIER JACKIE,Democratic Party,Incumbent,709983.72,460334.16,245130.0,0.0,487484.83,1499742.45,2977.31
CA14,2016,CARDENAS ANGEL,Republican Party,Challenger,2924.87,2889.87,0.0,35.0,2878.07,46.8,35.0
CA15,2016,SWALWELL ERIC MICHAEL,Democratic Party,Incumbent,1558991.3,909373.68,627672.37,0.0,981918.96,974577.15,4861.51
CA15,2016,TURNER DANNY REID,Republican Party,Challenger,555.0,455.0,0.0,100.0,32.45,522.55,100.0
CA16,2016,COSTA JIM MR.,Democratic Party,Incumbent,1273988.09,555525.0,710944.25,0.0,657036.1,1234959.5,0.0
CA16,2016,ROGERS DAVID BRYAN,Republican Party,Challenger,242272.54,242272.54,0.0,0.0,242272.54,0.0,0.0
CA16,2016,TACHERRA JOHNNY,Republican Party,Challenger,349648.08,335051.5,6750.0,4525.0,328775.37,22620.14,22697.65
CA17,2016,HONDA MIKE,Democratic Party,Incumbent,2190804.47,1640243.59,547898.0,0.0,1260067.78,951674.09,21216.19
CA17,2016,COHEN RONALD H,Republican Party,Challenger,4943.0,2750.0,0.0,2043.0,4758.0,184.0,0.0
CA17,2016,KHANNA ROHIT,Democratic Party,Challenger,2895930.85,2883545.41,0.0,5400.0,1451470.68,1446129.55,64299.26
CA17,2016,KUO PETER,Republican Party,Challenger,14233.76,8132.76,0.0,6101.0,14233.76,0.0,0.0
CA17,2016,OLIVERIO PIERLUIGI,Democratic Party,Challenger,3052.0,0.0,0.0,3052.0,3052.0,0.0,0.0
CA18,2016,ESHOO ANNA G.,Democratic Party,Incumbent,1024728.4,582364.0,439992.0,0.0,861120.8,506829.67,5302.8
CA18,2016,FOX RICHARD B,Republican Party,Challenger,17853.0,11153.0,0.0,6700.0,16925.76,1602.21,0.0
CA19,2016,LOFGREN ZOE,Democratic Party,Incumbent,1051557.22,670781.69,366725.0,0.0,679904.28,1422956.27,0.0
CA19,2016,LANCASTER GORDON K CA,Republican Party,Challenger,5500.0,100.0,0.0,400.0,5250.0,250.0,650.0
CA20,2016,LUCIUS CASEY,Republican Party,Open,239465.58,233166.34,1250.0,10.0,73776.44,165689.14,0.0
CA20,2016,PANETTA JIMMY,Democratic Party,Open,745127.32,583235.32,161782.0,110.0,420660.38,191309.46,0.0
CA21,2016,VALADAO DAVID,Republican Party,Incumbent,1904158.68,817587.97,1077578.45,0.0,688331.47,1303113.66,0.0
CA21,2016,HUERTA EMILIO JESUS MR.,Democratic Party,Challenger,308240.43,206615.07,89153.08,2700.0,250767.13,57473.3,0.0
CA21,2016,PARRA DANIEL,Democratic Party,Challenger,70790.36,55480.6,15300.0,0.0,64841.06,5949.3,7131.72
CA21,2016,PEREZ CONNIE,Democratic Party,Challenger,15272.95,6272.95,9000.0,0.0,10768.25,4504.7,0.0
CA22,2016,NUNES DEVIN G,Republican Party,Incumbent,1806962.26,401439.43,1256814.4,0.0,1116797.93,2777137.59,0.0
CA23,2016,MCCARTHY KEVIN,Republican Party,Incumbent,6757161.24,1149819.42,2806195.71,0.0,5763816.46,2847977.85,10000.0
CA23,2016,METTLER KEN,Republican Party,Challenger,43818.89,20402.03,990.6,20372.49,43818.89,0.0,19572.49
CA23,2016,REED WENDY,Democratic Party,Challenger,30139.12,13736.63,6500.0,6561.99,20536.19,9602.93,4674.02
CA24,2016,ACHADJIAN KHATCHIK,Republican Party,Open,883238.67,784508.32,43619.0,41000.0,873436.68,9791.99,30000.0
CA24,2016,CARBAJAL SALUD,Democratic Party,Open,2194541.48,1822259.99,338601.5,0.0,1652876.79,541664.69,0.0
CA24,2016,FAREED JUSTIN,Republican Party,Open,1252959.49,1216617.19,28400.0,739.26,959466.58,293492.91,74759.97
CA24,2016,ISAKSON STEVE WESLEY PHD,Other,Open,45032.01,0.0,0.0,45010.0,14327.97,30704.04,45010.0
CA24,2016,KOKKONEN MATT,Republican Party,Open,217480.0,6980.0,0.0,210500.0,40230.71,177249.29,210500.0
CA24,2016,OSTRANDER WILLIAM,Democratic Party,Open,68106.44,46605.27,0.0,21500.0,67748.31,358.13,21000.0
CA24,2016,SCHNEIDER HELENE,Democratic Party,Open,653254.46,637338.1,15750.0,0.0,652107.43,1147.03,1744.45
CA25,2016,KNIGHT STEVE,Republican Party,Incumbent,1041479.14,377216.02,651676.99,0.0,415169.15,630935.7,12401.76
CA25,2016,CAFORIO BRYAN,Democratic Party,Challenger,583867.52,402408.08,174200.0,1974.17,446200.22,137667.3,56593.31
CA25,2016,GUTZEIT MARIA,Democratic Party,Challenger,72845.44,56035.97,5500.0,10335.82,72845.44,0.0,0.0
CA25,2016,THOMAS EVAN CHARLES,Democratic Party,Challenger,10530.18,5188.97,0.0,5141.21,12153.9,1423.08,1500.0
CA25,2016,VINCE LOU,Democratic Party,Challenger,93719.65,83744.34,9810.81,164.5,93073.65,646.0,0.0
CA26,2016,BROWNLEY JULIA,Democratic Party,Incumbent,2497461.53,1607248.8,837583.35,0.0,667526.04,2105315.32,0.0
CA26,2016,DAGNESSES RAFAEL,Republican Party,Challenger,255103.0,91603.0,3500.0,100000.0,169136.76,86216.24,111369.31
CA27,2016,CHU JUDY,Democratic Party,Incumbent,695166.71,468792.52,224710.0,0.0,514640.58,1868435.12,1791.77
CA27,2016,ORSWELL JACK,Republican Party,Challenger,154167.0,133894.0,0.0,20000.0,62382.62,98866.72,20000.0
CA28,2016,SCHIFF ADAM,Democratic Party,Incumbent,720139.83,356723.21,365170.0,0.0,735964.8,2088769.59,0.0
CA29,2016,CARDENAS TONY,Democratic Party,Incumbent,1244633.34,531861.12,700189.8,0.0,1122851.5,315899.55,14960.72
CA29,2016,ALARCON RICHARD ANTHONY MR.,Democratic Party,Challenger,70804.53,57051.25,10000.0,3753.28,69183.35,1621.18,961.4
CA29,2016,BERNAL BENITO BENNY,Democratic Party,Challenger,15502.0,15502.0,0.0,0.0,15499.0,0.0,0.0
CA29,2016,GUZMAN DAVID,Democratic Party,Challenger,8303.25,8303.25,0.0,0.0,8303.25,0.0,0.0
CA29,2016,SHAMMAS JOSEPH IVARO,Democratic Party,Challenger,43047.81,8556.89,0.0,34490.92,43039.93,7.88,1644.92
CA30,2016,SHERMAN BRAD,Democratic Party,Incumbent,1152683.88,643250.66,500300.0,0.0,413991.03,975815.21,2297.52
CA30,2016,RAB AEJAZ (RAJI),Democratic Party,Challenger,133051.0,78001.0,0.0,55050.0,130574.92,2475.42,55000.0
CA31,2016,AGUILAR PETE,Democratic Party,Incumbent,2345713.62,1364831.39,958944.8,0.0,825674.21,1528178.53,0.0
CA31,2016,BACA JOE,Republican Party,Challenger,29848.0,29348.0,500.0,0.0,28176.32,1671.68,13515.79
CA31,2016,CHABOT PAUL R DR.,Republican Party,Challenger,500055.4,404506.62,39023.78,52525.0,399783.18,100567.2,90898.04
CA31,2016,FLYNN SEAN MASAKI,Republican Party,Challenger,697944.03,134784.0,0.0,515257.76,629292.09,68651.94,551150.0
CA32,2016,NAPOLITANO GRACE,Democratic Party,Incumbent,580004.82,156047.29,422673.3,0.0,590186.47,241503.59,6225.75
CA32,2016,HERNANDEZ ROGER,Democratic Party,Challenger,187642.23,100184.23,7380.0,80000.0,126973.34,60668.89,68046.38
CA33,2016,LIEU TED,Democratic Party,Incumbent,1560991.7,1215606.92,330455.05,1.0,825638.51,855534.33,1674.56
CA33,2016,WRIGHT KENNETH W DR.,Republican Party,Challenger,54525.55,48975.0,0.0,0.0,26975.54,27550.01,5000.0
CA34,2016,BECERRA XAVIER,Democratic Party,Incumbent,1423360.03,495834.67,842900.0,0.0,1339201.16,1373097.39,4805.92
CA34,2016,EDWARDS ADRIENNE NICOLE,Democratic Party,Challenger,20.0,20.0,0.0,0.0,1.8,18.2,1740.0
CA35,2016,TORRES NORMA,Democratic Party,Incumbent,469529.12,132925.85,334217.84,0.0,294956.54,229664.72,8063.5
CA35,2016,FISCHELLA TYLER R,Republican Party,Challenger,3307.36,2445.0,0.0,862.36,1542.29,1765.07,100.0
CA36,2016,RUIZ RAUL DR.,Democratic Party,Incumbent,2463507.12,1599079.59,859340.14,0.0,806218.91,2031015.03,0.0
CA36,2016,KEALY DWIGHT,Republican Party,Challenger,297657.28,46010.5,0.0,251646.78,297657.28,0.0,0.0
CA36,2016,STONE JEFFREY E,Republican Party,Challenger,237824.0,183826.0,53998.0,0.0,127093.63,110730.37,12749.96
CA37,2016,BASS KAREN,Democratic Party,Incumbent,427041.87,167411.62,259495.25,0.0,512467.62,190751.72,0.0
CA37,2016,HASAN SHARIFF M,Republican Party,Challenger,2250.0,2250.0,0.0,0.0,2250.0,0.0,0.0
CA38,2016,SANCHEZ LINDA,Democratic Party,Incumbent,1192203.34,248547.89,939576.24,300.0,944633.28,686277.09,0.0
CA38,2016,ADAMS SCOTT MICHAEL MR.,Other,Challenger,0.0,0.0,0.0,0.0,6940.0,-6940.0,0.0
CA39,2016,ROYCE ED MR.,Republican Party,Incumbent,3215911.17,2061415.42,1028954.15,0.0,1335742.17,3895120.46,25915.8
CA39,2016,MURDOCK BRETT,Democratic Party,Challenger,24847.92,17015.99,7831.93,0.0,21111.31,3736.61,0.0
CA40,2016,ROYBAL-ALLARD LUCILLE,Democratic Party,Incumbent,484136.15,198636.47,285499.68,0.0,399944.97,113247.43,0.0
CA41,2016,TAKANO MARK,Democratic Party,Incumbent,812854.72,554711.84,247800.0,0.0,503189.18,349598.38,0.0
CA41,2016,FOX RANDY,Republican Party,Challenger,56915.0,55915.0,0.0,1000.0,52848.61,4066.39,12354.69
CA41,2016,SHEPHERD DOUG,Republican Party,Challenger,176361.0,37761.0,8100.0,130000.0,131074.57,45286.43,154431.91
CA42,2016,CALVERT KEN,Republican Party,Incumbent,1177870.66,561069.0,610080.49,0.0,746594.53,836835.13,16871.01
CA42,2016,CONDLEY KERRI,Other,Challenger,87268.86,10968.52,3000.0,72300.34,87420.73,0.0,0.0
CA42,2016,SHERIDAN TIMOTHY J,Democratic Party,Challenger,85910.41,24786.6,35398.0,24544.55,49348.29,55646.56,24265.13
CA43,2016,NAVARRO OMAR,Republican Party,Open,2336.0,2336.0,0.0,0.0,2618.25,70.31,0.0
CA43,2016,WATERS MAXINE MS,Democratic Party,Incumbent,545517.63,55447.63,395000.0,0.0,529124.24,294203.32,58108.8
CA44,2016,BARRAGAN NANETTE,Democratic Party,Open,906894.61,764277.48,117858.84,24458.28,779118.62,127775.99,20511.08
CA44,2016,CASTILLO CHRISTOPHER,Republican Party,Open,8840.0,8790.0,0.0,50.0,8840.0,0.0,0.0
CA44,2016,HALL ISADORE III,Democratic Party,Open,1184647.93,756372.93,426685.83,0.0,1118919.89,132836.67,98353.75
CA44,2016,MUSANTE MARCUS,Democratic Party,Open,47739.0,36770.0,0.0,17014.0,39054.94,4368.0,0.0
CA45,2016,WALTERS MIMI,Republican Party,Incumbent,1594683.53,310220.35,819950.0,0.0,1156276.58,544815.87,11145.51
CA45,2016,GOURON MAX M.D.,Democratic Party,Challenger,71895.09,3385.0,0.0,68500.0,70675.76,1951.11,41500.0
CA45,2016,RATHS GREGORY G,Republican Party,Challenger,235267.75,114267.75,0.0,121000.0,185299.66,24096.7,217918.0
CA45,2016,VARASTEH RON,Democratic Party,Challenger,8733.41,2983.41,750.0,5000.0,81986.95,7118.92,80000.0
CA46,2016,BRANDMAN JORDAN,Democratic Party,Open,121807.39,96356.24,150.0,25000.0,121957.39,0.0,0.0
CA46,2016,CORREA JOSE LUIS (LOU) MR.,Democratic Party,Open,590564.12,382804.34,206222.78,0.0,446392.68,144171.44,5161.26
CA46,2016,DUNN JOSEPH,Democratic Party,Open,428482.55,382550.99,45850.0,0.0,380052.3,48430.25,62260.13
CA46,2016,NGUYEN BAO QUOC,Democratic Party,Open,197033.58,188030.72,9000.0,0.0,152465.46,44568.12,0.0
CA46,2016,PETERSON BOB,Republican Party,Open,30918.0,18918.0,0.0,0.0,29103.64,1814.36,13974.27
CA46,2016,SANCHEZ HEBERTO M,Democratic Party,Open,3318.96,3318.96,0.0,0.0,3318.96,0.0,0.0
CA46,2016,SCHOTT LYNN,Republican Party,Open,79271.0,28318.0,5900.0,44000.0,78779.02,491.98,64599.35
CA47,2016,LOWENTHAL ALAN,Democratic Party,Incumbent,526143.63,186670.07,333773.56,0.0,406961.5,477065.22,1640.61
CA47,2016,WHALLON ANDREW,Republican Party,Challenger,41725.65,1767.0,0.0,39500.0,41558.58,665.55,94300.0
CA48,2016,ROHRABACHER DANA,Republican Party,Incumbent,724175.29,647301.3,38107.0,0.0,500402.59,232732.78,5000.0
CA48,2016,BAUGH SCOTT,Republican Party,Challenger,558605.0,557605.0,1000.0,0.0,16379.13,542225.87,0.0
CA48,2016,SAVARY SUZANNE JOYCE,Democratic Party,Challenger,54255.4,44405.4,9850.0,0.0,33444.36,20761.04,3828.06
CA49,2016,ISSA DARRELL ,Republican Party,Incumbent,759035.71,413597.04,415879.85,0.0,741094.95,3767964.93,405.0
CA49,2016,APPLEGATE DOUGLAS LOREN,Democratic Party,Challenger,186104.26,184294.37,1800.0,5.0,50541.33,135562.93,33543.98
CA50,2016,HUNTER DUNCAN D.,Republican Party,Incumbent,934727.16,240494.14,631655.82,0.0,656505.33,730794.52,0.0
CA50,2016,MALLOY JEFFREY PATRICK,Democratic Party,Challenger,2963.28,1010.0,1753.28,200.0,1573.23,1390.05,3982.77
CA51,2016,VARGAS JUAN C.,Democratic Party,Incumbent,886956.49,181261.52,575250.0,0.0,790899.83,106670.37,4132.28
CA51,2016,HIDALGO JUAN M JR,Republican Party,Challenger,27482.12,24515.68,0.0,2966.44,24824.9,2657.22,2966.44
CA51,2016,MERCADO JUAN CARLOS,Democratic Party,Challenger,8100.0,0.0,0.0,8100.0,7344.03,755.97,8100.0
CA51,2016,SANCHEZ CARLOS J MR,Republican Party,Challenger,26124.0,0.0,0.0,26124.0,25658.24,465.76,26124.0
CA52,2016,PETERS SCOTT,Democratic Party,Incumbent,2725494.47,1365754.37,1209353.33,99878.8,832048.17,1962145.03,250000.0
CA52,2016,ALLVORD TERRY,Republican Party,Challenger,19253.77,7001.36,0.0,12155.0,19253.77,0.0,0.0
CA52,2016,ATKINSON JACQUIE,Republican Party,Challenger,196307.97,193836.0,0.0,2471.97,195294.06,1013.91,1013.91
CA52,2016,CANADA MIKE,Republican Party,Challenger,17000.0,0.0,0.0,17000.0,17000.0,0.0,0.0
CA52,2016,GITSHAM DENISE,Republican Party,Challenger,728635.92,629239.53,33500.0,65400.0,422068.03,306567.89,68130.81
CA52,2016,HORST JOHN H,Republican Party,Challenger,14502.5,14600.0,0.0,0.0,14855.56,-353.06,15215.56
CA52,2016,SIMON FRED J JR MD,Republican Party,Challenger,517.93,0.0,0.0,517.93,790.44,0.0,0.0
CA53,2016,DAVIS SUSAN,Democratic Party,Incumbent,358008.36,129582.06,228033.33,0.0,301232.12,298579.74,0.0
CA53,2016,ASH JAMES,Republican Party,Challenger,35278.0,19568.0,0.0,15710.0,35278.0,0.0,13339.51
CA53,2016,MENDOZA MATTHEW JAMES,Republican Party,Challenger,1464.0,0.0,0.0,707.0,1346.0,57.0,0.0
CA53,2016,VELTMEYER JAMES,Republican Party,Challenger,105739.0,93239.07,0.0,0.0,98395.95,7343.05,22799.93
CO01,2016,DEGETTE DIANA L.,Democratic Party,Incumbent,1000060.39,451991.43,547789.3,0.0,825427.42,194790.13,0.0
CO01,2016,NORRIS CHARLES H,Democratic Party,Challenger,13705.03,9456.47,0.0,4248.56,17838.37,-662.99,7500.0
CO01,2016,STOKHAM CHARLES WESLEY (CASPER),Republican Party,Challenger,24207.07,20841.27,0.0,0.0,22176.79,2030.28,0.0
CO02,2016,POLIS JARED,Democratic Party,Incumbent,1007658.53,750558.17,0.0,255568.23,512401.86,505859.85,0.0
