state_district,election,name,party,incumbent_challenger_open,receipts,from_individuals,from_committees,from_candidate,disbursements,cash_on_hand,debts
AZ01,2014,KIEHNE GARY,Republican Party,Challenger,627466.09,284309.88,2000.0,340856.4,290443.34,337022.75,300000.0
AZ01,2014,KWASMAN ADAM CHARLES,Republican Party,Challenger,232338.91,197238.0,2500.0,32529.0,117260.62,115078.29,30896.4
AZ01,2014,TOBIN ANDY HON.,Republican Party,Challenger,562142.18,482550.0,61240.0,0.0,341639.51,220502.67,0.0
AZ02,2014,BARBER RONALD,Democratic Party,Incumbent,2144476.7,1227934.7,884020.42,0.0,666617.99,1563927.37,0.0
AZ02,2014,KAIS SHELLEY M,Republican Party,Challenger,33154.27,29113.45,1000.0,1220.82,19840.48,13313.79,1120.9
AZ02,2014,MARTIN EDWARD T,Republican Party,Challenger,14236.0,10010.0,0.0,2000.0,11902.0,539.0,0.0
AZ02,2014,MCSALLY MARTHA E MS.,Republican Party,Challenger,1835407.19,1346893.26,258700.0,0.0,698746.75,1157040.81,26766.73
AZ02,2014,WOOTEN CHARLES A,Republican Party,Challenger,27298.13,25549.62,0.0,1748.49,23867.67,3430.46,1268.5
AZ03,2014,GRIJALVA RAUL M,Democratic Party,Incumbent,415372.24,207991.09,200750.0,0.0,314967.83,108270.14,4969.29
AZ03,2014,MERCER GABRIELA SAUCEDO MRS,Republican Party,Challenger,33819.25,32359.25,650.0,0.0,39887.6,3939.94,0.0
AZ04,2014,GOSAR PAUL ANTHONY,Republican Party,Incumbent,406875.89,244384.59,161500.0,0.0,236301.22,195366.07,0.0
AZ04,2014,WEISSER MIKEL ,Democratic Party,Challenger,28287.84,15561.33,0.0,10726.51,25492.54,3000.26,16858.27
AZ05,2014,SALMON MATT,Republican Party,Incumbent,769379.05,432467.98,308500.0,0.0,354828.25,501563.42,0.0
AZ05,2014,WOODS JAMES ISSAC,Democratic Party,Challenger,24173.0,23173.0,1000.0,0.0,18490.0,4383.0,0.0
AZ06,2014,SCHWEIKERT DAVID,Republican Party,Incumbent,900648.86,464084.51,165502.54,100000.0,844715.02,85503.76,406620.3
AZ06,2014,WILLIAMSON W JOHN,Democratic Party,Challenger,4655.74,1146.33,0.0,3509.41,4195.41,512.51,5059.41
AZ07,2014,COBB JOE,Other,Open,1149.23,100.0,0.0,1049.23,24.23,1125.0,0.0
AZ07,2014,GALLARDO STEVE M,Democratic Party,Open,25093.81,21620.0,500.0,2942.98,24458.16,635.65,24365.0
AZ07,2014,GALLEGO RUBEN,Democratic Party,Open,434872.85,362098.19,68026.53,4748.0,134824.0,300048.85,0.0
AZ07,2014,MAUPIN JR JARRETT BARTON,Republican Party,Open,8955.0,8955.0,0.0,0.0,3506.01,8037.53,0.0
AZ07,2014,PENALOSA JOSE LUIS JR,Other,Open,14878.94,10022.0,0.0,4200.0,15773.89,356.05,8000.0
AZ07,2014,WILCOX MARY ROSE,Democratic Party,Open,335656.42,297656.42,35500.0,2500.0,114246.76,221409.66,60924.29
AZ08,2014,FRANKS TRENT,Republican Party,Incumbent,237744.97,105731.1,131925.0,0.0,218433.22,14861.69,275586.4
AZ09,2014,SINEMA KYRSTEN,Democratic Party,Incumbent,2399453.99,1463404.75,895365.2,0.0,853329.5,1595047.76,0.0
AZ09,2014,PARKER VERNON,Republican Party,Challenger,690640.82,684960.32,0.0,0.0,716938.84,845.1,18138.62
AZ09,2014,ROGERS WENDY,Republican Party,Challenger,715843.71,700457.05,15386.66,0.0,332080.65,387346.69,0.0
AZ09,2014,SEPULVEDA MARTIN C.,Republican Party,Challenger,0.71,0.0,0.0,0.0,4084.72,0.0,0.39
AZ09,2014,WALTER ANDREW,Republican Party,Challenger,483946.72,379445.64,4500.0,100000.0,263865.7,220081.02,50893.16
AR01,2014,CRAWFORD ERIC ALAN RICK,Republican Party,Incumbent,652803.79,294205.21,346098.58,0.0,379320.42,429465.19,0.0
AR01,2014,MCPHERSON JACKIE,Democratic Party,Challenger,159259.83,132359.83,21650.0,0.0,51762.96,107496.87,0.0
AR02,2014,CLEMMER ANN V,Republican Party,Open,182579.25,113993.6,17500.0,28000.0,177053.43,5525.82,8000.0
AR02,2014,HAYS PATRICK HENRY,Democratic Party,Open,879436.67,721811.67,148750.0,0.0,258639.35,620797.32,0.0
AR02,2014,HILL JAMES FRENCH,Republican Party,Open,1277811.69,1152361.69,119200.0,0.0,809824.26,467987.43,0.0
AR02,2014,REYNOLDS CONRAD EARL,Republican Party,Open,117616.31,42181.31,0.0,75326.0,112761.23,4855.08,80283.03
AR03,2014,WOMACK STEVE,Republican Party,Incumbent,656399.98,251200.0,404918.28,0.0,368125.13,695384.08,0.0
AR03,2014,BREWER THOMAS HILL,Republican Party,Challenger,9780.0,4780.0,0.0,5000.0,7218.5,2551.51,0.0
AR04,2014,MOLL THOMAS,Republican Party,Open,632329.56,538301.76,27000.0,66259.8,631157.77,1171.79,50000.0
AR04,2014,PERCEFULL JANIS KENT,Democratic Party,Open,11505.0,9505.0,0.0,2000.0,13147.03,671.32,0.0
AR04,2014,WESTERMAN BRUCE MR.,Republican Party,Open,488707.13,432671.37,35300.0,12258.14,309433.15,179273.98,0.0
AR04,2014,WITT JAMES LEE,Democratic Party,Open,833623.16,645596.32,161700.0,22914.23,437885.11,395738.05,0.0
CA01,2014,LAMALFA DOUG,Republican Party,Incumbent,500979.4,200039.0,272201.07,0.0,359559.81,236973.32,83615.82
CA01,2014,HALL HEIDI,Democratic Party,Challenger,125451.23,122171.1,2616.0,100.0,101569.51,27319.83,1620.3
CA01,2014,LEVINE DAN,Democratic Party,Challenger,1750.0,500.0,1000.0,250.0,1740.0,10.0,646.62
CA02,2014,HUFFMAN JARED MR,Democratic Party,Incumbent,890468.53,426964.86,285796.17,0.0,745192.2,333255.87,279.14
CA03,2014,GARAMENDI JOHN,Democratic Party,Incumbent,990222.36,412730.92,571523.67,0.0,688069.44,342433.0,937.6
CA03,2014,LOGUE DANIEL,Republican Party,Challenger,1180472.86,402441.57,70503.81,560050.0,856589.66,323883.2,140663.3
CA04,2014,MCCLINTOCK THOMAS,Republican Party,Incumbent,1032567.97,947699.55,83042.8,0.0,980708.25,425568.42,1027.86
CA04,2014,JOHNSON KRISTINE M,Democratic Party,Challenger,9715.01,9660.0,0.0,0.0,9715.01,0.0,0.0
CA04,2014,MOORE ARTHUR S,Republican Party,Challenger,78314.33,78314.33,0.0,0.0,74045.36,4268.97,32731.57
CA05,2014,VAN RAAM DOUGLAS SCOTT,Other,Open,1826.0,0.0,0.0,1826.0,1745.0,82.97,0.0
CA05,2014,THOMPSON MIKE MR.,Democratic Party,Incumbent,1423649.7,482796.64,917901.61,0.0,1083904.04,1656776.01,9562.42
CA06,2014,MATSUI DORIS,Democratic Party,Incumbent,860959.92,241560.63,614318.74,0.0,586518.83,468699.98,4709.14
CA06,2014,MCCRAY JOSEPH SR,Republican Party,Challenger,18794.99,1202.43,0.0,17592.07,18723.51,76.67,45953.07
CA07,2014,BERA AMERISH,Democratic Party,Incumbent,2591168.1,1576622.37,984193.49,5339.84,732454.47,1966219.9,324800.0
CA07,2014,BIRMAN IGOR A,Republican Party,Challenger,544177.21,473168.44,68307.1,195.65,534762.24,9414.97,95710.11
CA07,2014,EMKEN ELIZABETH,Republican Party,Challenger,653986.19,362357.35,6450.0,285000.0,632639.76,21421.43,61048.86
CA07,2014,OSE DOUG,Republican Party,Challenger,1563563.63,822347.09,133655.7,600000.0,1385389.06,203841.79,471993.03
CA07,2014,TUMA DOUGLAS ARTHUR,Other,Challenger,500.0,0.0,0.0,500.0,197.95,316.61,0.0
CA08,2014,COOK PAUL,Republican Party,Incumbent,631713.62,286098.4,342594.0,0.0,219042.16,438704.3,0.0
CA08,2014,CONOVER RODNEY LEE,Republican Party,Challenger,46505.05,30505.05,0.0,16000.0,41106.82,5398.23,11000.0
CA08,2014,HANNOSH PAUL,Republican Party,Challenger,15195.73,13695.73,0.0,0.0,14878.06,547.42,1500.0
CA08,2014,LEE ODESSIA,Democratic Party,Challenger,5939.0,0.0,0.0,5568.0,5939.0,0.0,0.0
CA09,2014,MCNERNEY JERRY,Democratic Party,Incumbent,881442.87,538213.72,331931.12,0.0,469019.98,444117.14,5917.7
CA09,2014,AMADOR ANTONIO CANDIA,Republican Party,Challenger,37879.6,32645.51,0.0,5200.0,24623.39,13256.21,9043.25
CA09,2014,COLANGELO STEVE ANTHONY,Republican Party,Challenger,83667.93,79510.76,1649.0,500.0,83461.95,205.98,23932.74
CA09,2014,DAVIS KAREN MATHEWS,Republican Party,Challenger,16200.0,250.0,0.0,15950.0,16200.0,0.0,0.0
CA10,2014,DENHAM JEFF,Republican Party,Incumbent,2101926.02,735714.63,1022797.52,0.0,569345.76,1688047.53,6465.54
CA10,2014,BARKLEY MICHAEL JAMES,Democratic Party,Challenger,8743.04,40.0,0.0,8544.78,8932.94,514.65,19333.49
CA10,2014,EGGMAN MICHAEL RAY,Democratic Party,Challenger,853196.95,604554.08,237202.81,84.95,336329.71,516867.24,0.0
CA11,2014,DAYSOG TONY,Democratic Party,Open,5718.0,5718.0,0.0,0.0,5718.0,0.0,0.0
CA11,2014,DESAULNIER MARK,Democratic Party,Open,351824.58,182793.38,169031.2,0.0,312956.14,38955.38,153936.88
CA11,2014,INGERSOL KI,Democratic Party,Open,69863.65,65385.26,0.0,4478.39,69863.65,0.0,0.0
CA11,2014,QUANG TUE PHAN,Republican Party,Open,66619.97,60919.97,0.0,5700.0,30455.96,36164.01,5500.0
CA12,2014,PELOSI NANCY,Democratic Party,Incumbent,1952860.22,804265.09,925400.0,0.0,1748184.65,654002.9,0.0
CA12,2014,DENNIS JOHN,Republican Party,Challenger,374930.41,372264.32,2600.0,0.0,362398.29,12532.12,500.0
CA12,2014,HERMANSON BARRY,Other,Challenger,7770.0,1770.0,0.0,6000.0,7769.0,0.0,0.0
CA12,2014,STEGER MICHAEL G,Democratic Party,Challenger,31278.39,24741.39,6500.0,0.0,31242.46,35.93,925.0
CA12,2014,"THORSSON ANTHONY JOHN ""DESMOND""",Other,Challenger,4394.0,1795.0,0.0,2599.0,2905.0,1489.0,0.0
CA13,2014,LEE BARBARA,Democratic Party,Incumbent,840085.25,613738.75,225775.0,0.0,731856.03,153409.81,0.0
CA13,2014,JELINCIC JUSTIN,Democratic Party,Challenger,2085.0,85.0,0.0,2000.0,1915.0,399.3,5900.0
CA13,2014,SUNDEEN DAKIN M,Republican Party,Challenger,4890.0,2700.0,0.0,150.0,4027.7,862.3,150.0
CA14,2014,SPEIER JACKIE,Democratic Party,Incumbent,894664.4,585567.1,302701.5,0.0,635705.56,1302040.35,10744.04
CA14,2014,CHEW ROBIN LEO,Republican Party,Challenger,20901.94,8873.0,0.0,11943.94,18335.27,2566.67,11943.94
CA15,2014,SWALWELL ERIC MICHAEL,Democratic Party,Incumbent,1662001.15,1027056.45,634117.12,5.0,1145095.9,543515.27,1788.99
CA15,2014,BUSSELL HUGH,Republican Party,Challenger,6340.27,4300.0,0.0,1740.0,4115.88,2224.39,1740.0
CA15,2014,CORBETT ELLEN,Democratic Party,Challenger,224898.85,163531.56,60750.0,308.0,237948.15,91143.7,97132.24
CA15,2014,HOSTERMAN JENNIFER,Democratic Party,Challenger,2950.0,2950.0,0.0,0.0,3152.23,0.0,0.0
CA16,2014,COSTA JIM,Democratic Party,Incumbent,967742.86,499098.0,468350.0,0.0,418592.61,759759.49,17768.24
CA16,2014,BOTELHO JOANNA LYNN GARCIA,Republican Party,Challenger,31051.77,10940.0,0.0,20110.0,30337.99,713.78,20850.0
CA16,2014,CRASS STEVEN MICHAEL,Republican Party,Challenger,146617.12,141492.22,0.0,3324.9,138754.58,7862.54,7389.84
CA16,2014,LEVEY MELVIN,Republican Party,Challenger,37858.0,27525.0,0.0,10025.0,37549.29,308.71,10070.0
CA16,2014,TACHERRA JOHNNY,Republican Party,Challenger,114383.45,80437.0,0.0,33749.29,95849.41,18534.04,27249.29
CA17,2014,HONDA MIKE,Democratic Party,Incumbent,2428432.69,1837624.19,575571.46,35.0,1443299.1,1063355.97,13313.08
CA17,2014,KHANNA ROHIT,Democratic Party,Challenger,2808224.69,2803618.26,0.0,0.0,2957004.6,867422.16,239131.92
CA17,2014,SINGH VANILA M,Republican Party,Challenger,475239.78,303863.0,36450.0,129000.0,436982.46,38257.32,116214.02
CA18,2014,ESHOO ANNA,Democratic Party,Incumbent,1087780.78,525543.0,559590.3,0.0,1012098.41,449240.83,1338.31
CA18,2014,ANDERSON BRUCE GORDON,Republican Party,Challenger,10094.0,0.0,0.0,10094.0,10094.0,0.0,0.0
CA18,2014,FARRAR WILSON,Republican Party,Challenger,3740.0,1740.0,0.0,2000.0,3740.0,0.0,0.0
CA18,2014,FOX RICHARD B,Republican Party,Challenger,28650.0,26710.0,0.0,1840.0,17354.19,11295.81,1840.0
CA19,2014,LOFGREN ZOE,Democratic Party,Incumbent,790665.99,477013.0,302461.5,0.0,456462.53,910167.71,0.0
CA20,2014,FARR SAM,Democratic Party,Incumbent,541733.49,216009.83,322391.92,0.0,405355.01,210296.96,0.0
CA20,2014,KABAT RONALD PAUL,Other,Challenger,7877.0,150.0,0.0,7727.0,7727.0,193.0,0.0
CA21,2014,VALADAO DAVID,Republican Party,Incumbent,1836236.69,865763.28,948957.17,0.0,731383.16,1239637.82,26945.67
CA21,2014,HERNANDEZ JOHN STEPHEN,Democratic Party,Challenger,22806.59,17806.59,0.0,5000.0,23465.35,14059.53,40500.0
CA21,2014,RENTERIA AMANDA,Democratic Party,Challenger,1043902.49,720698.37,291676.33,25.0,647003.59,396898.9,0.0
CA22,2014,NUNES DEVIN G,Republican Party,Incumbent,1538480.05,437023.99,1035088.6,0.0,761824.7,2254606.46,0.0
CA22,2014,MARRERO SUZANNA AUGILERA,Democratic Party,Challenger,10152.37,3084.0,1000.0,0.0,7750.9,2401.47,10637.37
CA23,2014,MCCARTHY KEVIN,Republican Party,Incumbent,4148014.04,1108232.55,2212236.37,0.0,2767783.63,3204452.01,10000.0
CA24,2014,CAPPS LOIS G,Democratic Party,Incumbent,1643519.61,845037.06,770040.0,0.0,903504.67,1094445.49,0.0
CA24,2014,ALLEN BRAD DR,Republican Party,Challenger,134121.0,40121.0,0.0,0.0,134118.03,1.82,103780.0
CA24,2014,COYNE PAUL H JR,Democratic Party,Challenger,64879.45,10799.45,0.0,54080.0,64693.1,186.35,54080.0
CA24,2014,FAREED JUSTIN,Republican Party,Challenger,375497.18,160089.11,19628.17,185305.0,362100.18,13397.0,214437.31
CA24,2014,FRANCISCO DALE,Republican Party,Challenger,210332.48,156405.0,75.0,53852.48,204293.47,6039.01,76734.6
CA24,2014,MARSHALL SANDRA,Democratic Party,Challenger,42739.33,2014.0,0.0,34665.0,35176.9,7562.43,34665.0
CA24,2014,MITCHUM CHRISTOPHER,Republican Party,Challenger,165216.56,53216.56,0.0,112000.0,156770.21,10792.85,218197.63
CA25,2014,CASTAGNA TROY,Republican Party,Open,186740.0,61240.0,0.0,125500.0,178503.44,8236.56,125500.0
CA25,2014,KNIGHT STEVE,Republican Party,Open,187278.02,178478.0,8800.0,0.0,174464.75,12813.27,5532.41
CA25,2014,ROGERS LEE C.,Democratic Party,Open,631529.06,525466.09,104026.97,0.0,637222.46,14188.46,13044.18
CA25,2014,STRICKLAND ANTHONY A,Republican Party,Open,1263454.11,917920.56,306200.0,0.0,1187420.02,242620.79,0.0
CA25,2014,THOMAS EVAN CHARLES,Democratic Party,Open,14777.0,8525.0,0.0,6252.0,12921.0,1856.0,500.0
CA26,2014,BROWNLEY JULIA,Democratic Party,Incumbent,2024766.73,1329205.99,679739.92,0.0,526653.15,1548098.43,5000.0
CA26,2014,DAGNESSES RAFAEL,Republican Party,Challenger,71696.32,46128.0,0.0,25568.32,71696.31,0.0,0.0
CA26,2014,GORELL JEFF,Republican Party,Challenger,673952.19,523116.44,141246.0,0.0,367825.26,306126.93,36389.64
CA26,2014,KMIEC DOUGLAS W,Other,Challenger,27880.0,25537.0,0.0,2343.0,25290.0,2589.0,0.0
CA27,2014,CHU JUDY,Democratic Party,Incumbent,706023.28,460913.06,243290.0,0.0,474319.22,1488241.89,507.96
CA27,2014,ORSWELL JACK,Republican Party,Challenger,74836.0,63292.0,1000.0,10000.0,25633.11,49202.89,10000.0
CA28,2014,SCHIFF ADAM,Democratic Party,Incumbent,638690.47,308069.86,326500.0,0.0,655493.48,2042527.23,0.0
CA28,2014,STOKES STEVE,Other,Challenger,5562.46,723.0,0.0,4047.34,4219.93,1342.53,4047.34
CA29,2014,CARDENAS TONY,Democratic Party,Incumbent,668353.27,365114.0,298302.36,0.0,647048.41,155591.93,13280.19
CA29,2014,GAMBLE VENICE JAYMES II,Democratic Party,Challenger,16500.0,3100.0,0.0,7500.0,8625.62,7874.38,8890.0
CA30,2014,SHERMAN BRAD,Democratic Party,Incumbent,1049693.37,461845.0,455239.0,85514.0,1029462.67,68009.19,286311.55
CA30,2014,KLEINMAN PABLO,Republican Party,Challenger,166613.72,75465.0,3000.0,0.0,145470.73,21592.99,69533.72
CA30,2014,LITCHMAN MARC,Democratic Party,Challenger,4200.0,4200.0,0.0,0.0,21.74,4228.26,0.0
CA30,2014,REED SR. MARK STEVEN SR.,Republican Party,Challenger,6501.55,5401.55,0.0,1100.0,3841.97,3927.32,1100.0
CA31,2014,AGUILAR PETE,Democratic Party,Open,1327365.87,936882.81,363374.39,0.0,1021285.33,325728.99,0.0
CA31,2014,BACA JOE,Democratic Party,Open,201456.48,163874.0,31960.0,0.0,184347.29,25645.06,36434.26
CA31,2014,CHABOT PAUL,Republican Party,Open,164911.64,65918.76,19650.0,79342.88,138570.05,26341.59,72550.7
CA31,2014,GOOCH LESLI E MCCOLLUM,Republican Party,Open,343026.18,117277.12,41699.0,180000.0,328964.11,14062.07,237884.84
CA31,2014,REYES ELOISE GOMEZ,Democratic Party,Open,1017044.81,819351.62,72401.54,110588.17,1006887.08,10157.73,132159.9
CA31,2014,TILLMAN DANNY,Democratic Party,Open,38226.0,35142.0,0.0,5034.0,36988.0,0.0,207.0
CA31,2014,VALDIVIA JOHN,Republican Party,Open,12140.0,5400.0,0.0,5000.0,17012.0,0.0,5000.0
CA32,2014,NAPOLITANO GRACE,Democratic Party,Incumbent,262921.9,53305.0,207000.0,0.0,130861.13,341475.92,5011.47
CA32,2014,ALAS ARTURO E III,Republican Party,Challenger,25128.92,24628.92,0.0,500.0,16928.62,8200.3,0.0
CA33,2014,BLOOMFIELD BILL,Other,Open,77883.99,0.0,0.0,40205.0,76065.17,5176.95,25205.0
CA33,2014,CARR ELAN S.,Republican Party,Open,878658.07,808769.31,15550.0,50000.0,631335.82,245822.25,11763.48
CA33,2014,FOX TOM,Other,Open,19600.0,9600.0,0.0,10000.0,18185.0,1414.0,10000.0
CA33,2014,GRAF JAMES ANDREW,Democratic Party,Open,1267228.75,1625.0,0.0,1264566.35,1267228.75,0.0,0.0
CA33,2014,GREUEL WENDY J,Democratic Party,Open,1280390.47,1236940.47,41100.0,0.0,1234829.97,45560.5,104898.07
CA33,2014,KANUTH DAVID,Democratic Party,Open,1055842.1,1053304.1,2500.0,0.0,1033720.92,22121.18,0.0
CA33,2014,LIEU TED,Democratic Party,Open,1263571.63,1036307.0,166741.0,60200.0,1059133.44,204438.19,55000.0
CA33,2014,MILLER MATTHEW LOUIS,Democratic Party,Open,853640.16,836241.08,12100.0,5200.0,837853.7,15786.46,0.0
CA33,2014,MOTTUS KEVIN NEIL,Republican Party,Open,73276.75,500.0,0.0,72776.75,73276.75,0.0,0.0
CA33,2014,MULVANEY BARBARA,Democratic Party,Open,151305.07,26561.87,0.0,110050.0,149711.96,1593.11,124250.0
CA33,2014,WILLIAMSON MARIANNE,Other,Open,1941079.38,1400904.44,2206.0,535649.94,1934466.42,6612.96,388849.75
CA34,2014,BECERRA XAVIER,Democratic Party,Incumbent,1357430.79,539493.23,790196.86,0.0,1066266.13,1192944.11,0.0
CA34,2014,SMITH JONATHAN TURNER,Other,Challenger,31915.18,5765.0,0.0,26150.0,31915.18,0.0,25650.0
CA35,2014,GAGNIER CHRISTINA,Democratic Party,Open,37158.74,31477.28,0.0,5681.45,30850.06,6308.68,0.0
CA35,2014,HEYDENFELDT SCOTT MATTHEW,Democratic Party,Open,11485.0,2000.0,0.0,9485.0,10378.0,1350.0,9135.0
CA35,2014,TORRES NORMA,Democratic Party,Open,227049.67,65799.67,160250.0,0.0,156446.5,70603.17,12011.1
CA36,2014,RUIZ RAUL DR.,Democratic Party,Incumbent,2473774.06,1636450.8,823173.28,0.0,616643.35,1908424.45,0.0
CA36,2014,HAYNES RAY,Republican Party,Challenger,17911.26,3150.0,0.0,14761.26,17911.26,0.0,0.0
CA36,2014,NESTANDE BRIAN,Republican Party,Challenger,856110.04,710297.39,145337.93,0.0,621478.42,234631.62,2883.15
CA37,2014,BASS KAREN,Democratic Party,Incumbent,784554.9,390177.1,386500.0,0.0,543287.45,293652.37,630.54
CA37,2014,KING R ADAM,Republican Party,Challenger,11360.0,11360.0,0.0,0.0,8747.53,2612.47,0.0
CA38,2014,SANCHEZ LINDA,Democratic Party,Incumbent,989112.15,249305.21,735902.74,0.0,577495.32,527631.59,0.0
CA38,2014,CAMPOS BENJAMIN,Republican Party,Challenger,2143.0,185.0,0.0,893.0,2348.75,870.0,7421.0
CA39,2014,ROYCE ED MR.,Republican Party,Incumbent,2454724.13,1489195.95,904556.33,0.0,1369394.5,1651229.04,4549.59
CA39,2014,ANDERSON PETER O,Democratic Party,Challenger,2424.0,200.0,1000.0,1000.0,954.0,1470.0,1000.0
CA40,2014,ROYBAL-ALLARD LUCILLE,Democratic Party,Incumbent,341984.75,98168.85,242800.0,0.0,296116.28,80026.65,0.0
CA41,2014,TAKANO MARK,Democratic Party,Incumbent,1023084.23,767947.57,249079.6,0.0,654109.9,393609.35,0.0
CA41,2014,ADAMS STEVE,Republican Party,Challenger,129383.42,119669.99,9500.0,10.0,89899.36,39484.06,37125.71
CA41,2014,FRANCO VERONICA,Democratic Party,Challenger,25611.45,23311.0,0.0,0.0,25081.36,530.09,3050.03
CA41,2014,GIRARD YVONNE TERRELL,Republican Party,Challenger,8005.0,220.0,0.0,7785.0,8001.24,0.0,0.0
CA42,2014,CALVERT KEN,Republican Party,Incumbent,922284.09,430728.2,484763.2,0.0,602161.31,739467.06,19385.04
CA42,2014,CONDLEY KERRI,Democratic Party,Challenger,29750.03,24654.08,3500.0,1495.0,29546.38,203.65,12199.52
CA42,2014,MARQUEZ CHRISTOPHER ANDREW,Democratic Party,Challenger,3965.0,380.0,0.0,3585.0,3965.0,0.0,0.0
CA42,2014,SHERIDAN TIMOTHY J,Democratic Party,Challenger,52645.25,17851.0,18700.0,16093.25,27051.23,26094.18,4265.13
CA43,2014,WATERS MAXINE MS,Democratic Party,Incumbent,905946.45,230915.06,393615.34,0.0,542366.4,410463.26,134996.45
CA44,2014,HAHN JANICE,Democratic Party,Incumbent,525815.96,146533.51,379282.45,0.0,417619.64,146115.28,54728.03
CA45,2014,MACIARIELLO PATRICK,Republican Party,Open,532681.34,321003.49,10000.0,201570.0,532681.34,0.0,0.0
CA45,2014,MOORLACH JOHN,Republican Party,Open,63639.0,63136.0,500.0,0.0,53020.42,10618.58,0.0
CA45,2014,RATHS GREGORY GERARD,Republican Party,Open,428345.0,116863.0,0.0,309282.0,407330.0,21914.0,169332.0
