"District","Winner","Winner Spent","Secong-Highest Vote-Getter","Runner-Up Spent","Ratio"
"NY26","Brian M Higgins","$903447","Renee Zeno","$0","More than 10:1"
"NY07","Nydia M Velazquez","$886659","Joseph Lieberman","$0","More than 10:1"
"PA18","Mike Doyle","$852376","Kimberly Mack","$0","More than 10:1"
"MD08","Jamie Raskin","$850669","John Walsh","$0","More than 10:1"
"FL10","Val Demings","$839180","Unopposed","$0","More than 10:1"
"FL21","Lois J Frankel","$822122","Unopposed","$0","More than 10:1"
"NV01","Dina Titus","$780902","Joyce Bentley","$0","More than 10:1"
"OH03","Joyce Beatty","$765403","James E Burgess","$0","More than 10:1"
"OR01","Suzanne Bonamici","$746671","John Verbeek","$0","More than 10:1"
"TN05","Jim Cooper","$729276","Jody Ball","$0","More than 10:1"
"CA20","Jimmy Panetta","$716121","Ronald P Kabat","$0","More than 10:1"
"CA14","Jackie Speier","$714084","Cristina Osmena","$0","More than 10:1"
"MO01","William L Clay Jr.","$708871","Robert Vroman","$0","More than 10:1"
"MD03","John Sarbanes","$695220","Charles Anthony","$0","More than 10:1"
"GA08","Austin Scott","$672489","Jimmy Cooper","$0","More than 10:1"
"FL14","Kathy Castor","$658645","Unopposed","$0","More than 10:1"
"VA03","Bobby Scott","$606106","Unopposed","$0","More than 10:1"
"MI14","Brenda Lawrence","$583570","Marc Herschfus","$0","More than 10:1"
"NJ10","Donald M Payne Jr.","$568615","Agha Khan","$0","More than 10:1"
"NC03","Walter B Jones Jr.","$568142","Unopposed","$0","More than 10:1"
"IL07","Danny K Davis","$553020","Craig Cameron","$0","More than 10:1"
"CA46","Lou Correa","$548518","Russell Lambert","$0","More than 10:1"
"CA30","Brad Sherman","$543799","Mark Reed","$0","More than 10:1"
"TX09","Al Green","$528884","Phil Kurtz","$0","More than 10:1"
"NC12","Alma Adams","$522111","Paul Wright","$0","More than 10:1"
"MA08","Stephen F Lynch","$501489","Unopposed","$0","More than 10:1"
"MD04","Anthony Brown","$498047","George McDermott","$0","More than 10:1"
"CA11","Mark Desaulnier","$486919","John Fitzgerald","$0","More than 10:1"
"FL24","Frederica Wilson","$338156","Unopposed","$0","More than 10:1"
"IL01","Bobby L Rush","$320467","Jimmy Lee Tillman","$0","More than 10:1"
"TX30","Eddie Bernice Johnson","$271717","Shawn Jones","$0","More than 10:1"
"NY15","Jose E Serrano","$237215","Jason D. Gonzalez","$0","More than 10:1"
"OR03","Earl Blumenauer","$1608098","Tom Harrison","$304","More than 10:1"
"IN07","Andre Carson","$964780","Wayne E Harmon","$346","More than 10:1"
"SC06","James E Clyburn","$2001447","Gerhard Gressmann","$1666","More than 10:1"
"CA17","Ro Khanna","$1898604","Ron Cohen","$3010","More than 10:1"
"KY05","Hal Rogers","$957966","Ken Stepp","$2190","More than 10:1"
"CA12","Nancy Pelosi","$5353320","Lisa Remmer","$12442","More than 10:1"
"NY09","Yvette D Clarke","$1101421","Lutchi Gayot","$3609","More than 10:1"
"WA10","Dennis Heck","$1193807","Joseph Brumbles","$4567","More than 10:1"
"OK04","Tom Cole","$1986734","Mary Brannon","$7684","More than 10:1"
"CA29","Tony Cardenas","$1457973","Benny Bernal","$5776","More than 10:1"
"CA13","Barbara Lee","$1745801","Laura Wells","$7195","More than 10:1"
"WA07","Pramila Jayapal","$1541416","Craig Keller","$6780","More than 10:1"
"TN08","David Kustoff","$1727962","Erika Stotts Pearson","$7913","More than 10:1"
"RI02","Jim Langevin","$744278","Salvatore Caiozzo","$3525","More than 10:1"
"CA02","Jared Huffman","$708198","Dale Mensing","$3562","More than 10:1"
"TX08","Kevin Brady","$5958864","Steven David","$30263","More than 10:1"
"LA02","Cedric Richmond","$1440123","Jesse Schmidt","$8480","More than 10:1"
"FL20","Alcee L Hastings","$826621","Jay Bonner","$5413","More than 10:1"
"CA35","Norma Torres","$626500","Christian Valiente","$5119","More than 10:1"
"GA14","Tom Graves","$984525","Steven Foster","$8086","More than 10:1"
"NJ01","Don Norcross","$1484415","Paul Dilks","$12985","More than 10:1"
"NJ08","Albio Sires","$591046","John Muniz","$5464","More than 10:1"
"IL17","Cheri Bustos","$3132802","Bill Fawell","$30126","More than 10:1"
"PA03","Dwight Evans","$1129734","Bryan Leib","$11021","More than 10:1"
"NY13","Adriano Espaillat","$586054","Jineea Butler","$5826","More than 10:1"
"CA28","Adam Schiff","$3641838","Johnny Nalbandian","$36332","More than 10:1"
"CA19","Zoe Lofgren","$1824577","Justin Aguilera","$20122","More than 10:1"
"CA27","Judy Chu","$931058","Bryan Witt","$10477","More than 10:1"
"WA01","Suzan DelBene","$1552293","Jeffrey Beeler","$18808","More than 10:1"
"CA37","Karen Bass","$815603","Ron Bassilian","$10147","More than 10:1"
"NY17","Nita M Lowey","$1341159","Joe Ciardullo","$16917","More than 10:1"
"CA23","Kevin McCarthy","$8217155","Tatiana Matta","$106341","More than 10:1"
"TX18","Sheila Jackson Lee","$763812","Ava Pate","$10287","More than 10:1"
"NY12","Carolyn B Maloney","$2404708","Eliot Rabin","$33357","More than 10:1"
"GA02","Sanford Bishop","$1224477","Herman West Jr.","$17109","More than 10:1"
"MD07","Elijah E Cummings","$1136747","Richmond Davis","$16039","More than 10:1"
"MO03","Blaine Luetkemeyer","$1922331","Katy Geppert","$29734","More than 10:1"
"GA13","David Scott","$1080820","David Callahan","$17221","More than 10:1"
"OH06","Bill Johnson","$1717842","Shawna Roberts","$27375","More than 10:1"
"VT01","Peter Welch","$665661","Anya Tynio","$10773","More than 10:1"
"LA06","Garret Graves","$1804872","Justin Dewitt","$30959","More than 10:1"
"MI12","Debbie Dingell","$1246412","Jeff Jones","$22556","More than 10:1"
"LA01","Steve Scalise","$11808004","Tammy Savoie","$251043","More than 10:1"
"LA05","Ralph Abraham","$961554","Jessee Carlton Fleenor","$21056","More than 10:1"
"CA32","Grace Napolitano","$247891","Joshua Scott","$5445","More than 10:1"
"MN04","Betty McCollum","$949723","Greg Ryan","$20910","More than 10:1"
"UT01","Rob Bishop","$1026124","Lee Castillo","$23654","More than 10:1"
"NJ06","Frank Pallone Jr.","$1714473","Rich Pezzullo","$40040","More than 10:1"
"CA15","Eric Swalwell","$2415243","Rudy Peters","$56514","More than 10:1"
"SC07","Tom Rice","$1128072","Robert Williams","$26667","More than 10:1"
"UT03","John Curtis","$1379063","James Singer","$33534","More than 10:1"
"FL13","Charlie Crist","$1531229","George Buck","$40819","More than 10:1"
"MO06","Sam Graves","$1598729","Henry Martin","$42895","More than 10:1"
"MA02","James P McGovern","$1296763","Tracy Lovvorn","$35419","More than 10:1"
"IL08","Raja Krishnamoorthi","$1890243","Jitendra Diganvker","$51858","More than 10:1"
"LA04","Mike Johnson","$878399","Ryan Trundle","$24181","More than 10:1"
"NJ12","Bonnie Coleman","$828691","Daryl Kipnis","$23508","More than 10:1"
"CO01","Diana DeGette","$1206198","","$34880","More than 10:1"
"IL15","John M Shimkus","$1801556","Kevin Gaither","$53029","More than 10:1"
"WA06","Derek Kilmer","$1359358","Douglas Dightman","$42423","More than 10:1"
"TX13","Mac Thornberry","$1419041","Greg Sagan","$45886","More than 10:1"
"CA03","John Garamendi","$826736","Charles Schaupp","$26905","More than 10:1"
"CA40","Lucille Roybal-Allard","$565607","Rodolfo Cortes Barragan","$18447","More than 10:1"
"NC01","G K Butterfield","$893438","Roger Allison","$29759","More than 10:1"
"NC10","Patrick McHenry","$3861980","David Wilson Brown","$129496","More than 10:1"
"TX11","Mike Conaway","$2481325","Jennie Lou Leeder","$85051","More than 10:1"
"TX33","Marc Veasey","$1405039","Willie Billups","$48781","More than 10:1"
"OH11","Marcia L Fudge","$608142","Beverly A. Goldstein","$21855","More than 10:1"
"VA08","Don Beyer","$1823896","Thomas Oh","$67453","More than 10:1"
"MN06","Tom Emmer","$2159205","Ian Todd","$81577","More than 10:1"
"GA10","Jody Hice","$612306","Tabitha Johnson-Green","$23516","More than 10:1"
"MD02","Dutch Ruppersberger","$967365","Liz Matory","$37409","More than 10:1"
"CA41","Mark Takano","$1091567","Aja Smith","$42327","More than 10:1"
"FL09","Darren Soto","$1525686","Wayne Liebnitzky","$61175","More than 10:1"
"CO07","Ed Perlmutter","$1340325","Mark Barrington","$54956","More than 10:1"
"OR05","Kurt Schrader","$844172","Mark Callahan","$35313","More than 10:1"
"WI07","Sean P Duffy","$2803276","Margaret Engebretson","$118724","More than 10:1"
"MO07","Billy Long","$1243021","Jamie Schoolcraft","$56973","More than 10:1"
"TX15","Vicente Gonzalez","$410131","Tim Westley","$19168","More than 10:1"
"GA03","Drew Ferguson","$1176204","Chuck Enderlin","$55647","More than 10:1"
"IL09","Jan Schakowsky","$1472770","John Elleson","$74071","More than 10:1"
"NY10","Jerrold Nadler","$1538740","Naomi Levin","$79045","More than 10:1"
"NE03","Adrian Smith","$1608377","Paul Theobald","$85035","More than 10:1"
"FL01","Matt Gaetz","$1195040","Jennifer Zimmerman","$65473","More than 10:1"
"OH13","Tim Ryan","$1646037","Chris Depizzo","$91710","More than 10:1"
"AL01","Bradley Byrne","$831634","Robert Kennedy Jr.","$46845","More than 10:1"
"TX04","John Lee Ratcliffe","$517794","Catherine Krantz","$30784","More than 10:1"
"AL04","Robert B Aderholt","$1296476","Lee Auman","$77551","More than 10:1"
"IL18","Darin LaHood","$1213251","Junius Rodriguez","$73405","More than 10:1"
"OH09","Marcy Kaptur","$677411","Steven Kraus","$40950","More than 10:1"
"NY18","Sean Patrick Maloney","$4383786","James O'Donnell","$267142","More than 10:1"
"TX01","Louis B Gohmert Jr.","$776637","Shirley McKellar","$47552","More than 10:1"
"TX26","Michael Burgess","$1733609","Linsey Fagan","$106139","More than 10:1"
"TX17","Bill Flores","$1301040","Rick Kennedy","$83292","More than 10:1"
"MO05","Emanuel Cleaver","$1150893","Jacob Turk","$74516","More than 10:1"
"WY01","Liz Cheney","$715470","Greg Hunter","$47069","More than 10:1"
"GA11","Barry Loudermilk","$660532","Flynn Broady Jr.","$45332","More than 10:1"
"WA09","Adam Smith","$1621935","Sarah Smith","$112182","More than 10:1"
"FL05","Al Lawson","$576823","Virginia Fuller","$40412","More than 10:1"
"MI10","Paul Mitchell","$698358","Kimberly Bizon","$49295","More than 10:1"
"CA51","Juan Vargas","$887074","Juan Hidalgo","$65579","More than 10:1"
"OK02","Markwayne Mullin","$1697158","Jason Nichols","$127519","More than 10:1"
"CA09","Jerry McNerney","$1261735","Marla Livengood","$97112","More than 10:1"
"CA47","Alan Lowenthal","$619321","John Briscoe","$48137","More than 10:1"
"KY01","James Comer","$636409","Paul Walker","$50083","More than 10:1"
"FL03","Ted Yoho","$780863","Yvonne Hayes Hinson","$62700","More than 10:1"
"CA34","Jimmy Gomez","$1485466","Kenneth Mejia","$120165","More than 10:1"
"ME01","Chellie Pingree","$1081633","Mark Holbrook","$93694","More than 10:1"
"SC02","Joe Wilson","$1732882","Sean Carrigan","$151208","More than 10:1"
"TX24","Kenny Marchant","$1098375","Jan McDowell","$95469","More than 10:1"
"IN05","Susan Brooks","$1909690","Deirdre Thornton","$170212","More than 10:1"
"TX35","Lloyd Doggett","$507613","David Smalling","$45670","More than 10:1"
"IL10","Brad Schneider","$3218377","Douglas Bennett","$291462","More than 10:1"
"CA42","Ken Calvert","$1611608","Julia Peacock","$149565","More than 10:1"
"OH08","Warren Davidson","$544835","Vanessa Enoch","$50278","More than 10:1"
"KY02","Brett Guthrie","$1737262","Hank Linderman","$164079","More than 10:1"
"TX12","Kay Granger","$2084733","Vanessa Adia","$196087","More than 10:1"
"TX19","Jodey Arrington","$1084812","Miguel Levario","$102272","More than 10:1"
"KY04","Thomas Massie","$392587","Seth Hall","$38261","More than 10:1"
"MA06","Seth Moulton","$2645264","Joseph Schneider","$257301","More than 10:1"
"AZ03","Raul M Grijalva","$717810","Nick Pierson","$71240","More than 10:1"
"PA12","Tom Marino","$893923","Marc Friedenberg","$89883","More than 5:1 and Up to 10:1"
"PA15","Glenn Thompson","$1440775","Susan Boser","$145888","More than 5:1 and Up to 10:1"
"AR04","Bruce Westerman","$1283479","Hayden Shamel","$149870","More than 5:1 and Up to 10:1"
"NE01","Jeff Fortenberry","$645160","Jessica McClure","$76893","More than 5:1 and Up to 10:1"
"ID02","Mike Simpson","$993766","Aaron Swisher","$121141","More than 5:1 and Up to 10:1"
"OH05","Robert E Latta","$1746525","John Michael Galbraith","$211954","More than 5:1 and Up to 10:1"
"OR04","Peter DeFazio","$1378880","Art Robinson","$167755","More than 5:1 and Up to 10:1"
"GA09","Doug Collins","$751426","Josh McCall","$94068","More than 5:1 and Up to 10:1"
"NH02","Ann Kuster","$3330178","Steve Negron","$430744","More than 5:1 and Up to 10:1"
"MO08","Jason Smith","$1363792","Kathryn Ellis","$184639","More than 5:1 and Up to 10:1"
"WI03","Ron Kind","$2241595","Steve Toft","$304813","More than 5:1 and Up to 10:1"
"TX34","Filemon Vela","$696758","Rey Gonzalez","$95121","More than 5:1 and Up to 10:1"
"AR01","Rick Crawford","$965616","Chintan Desai","$137153","More than 5:1 and Up to 10:1"
"NV02","Mark Amodei","$1059626","Clint Koble","$153006","More than 5:1 and Up to 10:1"
"NC05","Virginia Foxx","$2339078","Denise Darcel Adams","$350322","More than 5:1 and Up to 10:1"
"VA01","Rob Wittman","$2088749","Vangie Williams","$316510","More than 5:1 and Up to 10:1"
"MN07","Collin Peterson","$1494740","Dave Hughes","$229417","More than 5:1 and Up to 10:1"
"FL22","Ted Deutch","$1246746","Nicolas Kimaz","$201654","More than 5:1 and Up to 10:1"
"GA04","Hank Johnson","$506816","Joe Profit","$82033","More than 5:1 and Up to 10:1"
"IL11","Bill Foster","$1690451","Dominick Stella","$271262","More than 5:1 and Up to 10:1"
"WI08","Mike Gallagher","$2070724","Beau Liegeois","$342249","More than 5:1 and Up to 10:1"
"CA33","Ted Lieu","$960659","Kenneth Wright","$159955","More than 5:1 and Up to 10:1"
"FL11","Daniel Webster","$524027","Dana Cottrell","$87364","More than 5:1 and Up to 10:1"
"IL16","Adam Kinzinger","$2293170","Sara Dady","$394296","More than 5:1 and Up to 10:1"
"GA01","Buddy Carter","$1181228","Lisa Ring","$205896","More than 5:1 and Up to 10:1"
"MS01","Trent Kelly","$894256","Randy Wadkins","$155880","More than 5:1 and Up to 10:1"
"NC11","Mark R Meadows","$1310318","Phillip Price","$232176","More than 5:1 and Up to 10:1"
"TN09","Steve Cohen","$404320","Charlotte Bergmann","$72217","More than 5:1 and Up to 10:1"
"CA52","Scott Peters","$1933049","Omar Qudrat","$372062","More than 5:1 and Up to 10:1"
"MS04","Steven Palazzo","$766259","Jeramey Anderson","$147728","More than 5:1 and Up to 10:1"
"AL06","Gary Palmer","$1473769","Danner Kline","$287397","More than 5:1 and Up to 10:1"
"CA08","Paul Cook","$1391209","Tim Donnelly","$271631","More than 5:1 and Up to 10:1"
"CA26","Julia Brownley","$1750603","Antonio Sabato Jr.","$347692","More than 2:1 and Up to 5:1"
"MI03","Justin Amash","$764397","Catherine Albro","$152790","More than 2:1 and Up to 5:1"
"CA53","Susan A Davis","$465023","Morgan Murtaugh","$94570","More than 2:1 and Up to 5:1"
"WV01","David McKinley","$1337789","Kendra Fershee","$276430","More than 2:1 and Up to 5:1"
"AR03","Steve Womack","$1210043","Josh Mahony","$265213","More than 2:1 and Up to 5:1"
"IN08","Larry Bucshon","$1046063","William Tanoos","$229396","More than 2:1 and Up to 5:1"
"AL02","Martha Roby","$2263208","Tabitha Isner","$519145","More than 2:1 and Up to 5:1"
"GA12","Richard W Allen","$1147197","Francys Johnson","$276229","More than 2:1 and Up to 5:1"
"AZ06","David Schweikert","$1618275","Anita Malik","$391715","More than 2:1 and Up to 5:1"
"FL04","John Rutherford","$441573","Ges Selmont","$110602","More than 2:1 and Up to 5:1"
"FL23","Debbie Wasserman Schultz","$1939380","Joe Kaufman","$499608","More than 2:1 and Up to 5:1"
"VA04","Donald McEachin","$925773","Ryan McAdams","$235925","More than 2:1 and Up to 5:1"
"OH15","Steve Stivers","$4993368","Rick Neal","$1306569","More than 2:1 and Up to 5:1"
"FL02","Neal Dunn","$961089","Bob Rackleff","$257162","More than 2:1 and Up to 5:1"
"OR02","Greg Walden","$4876725","Jamie McLeod-Skinner","$1309787","More than 2:1 and Up to 5:1"
"TN01","Phil Roe","$604970","Martin Olsen","$162748","More than 2:1 and Up to 5:1"
"TX10","Michael McCaul","$1754121","Mike Siegel","$477925","More than 2:1 and Up to 5:1"
"AL05","Mo Brooks","$1988145","Peter Joffrion","$572567","More than 2:1 and Up to 5:1"
"LA03","Clay Higgins","$878558","Mimi Methvin","$257768","More than 2:1 and Up to 5:1"
"TX14","Randy Weber","$685916","Adrienne Bell","$204130","More than 2:1 and Up to 5:1"
"TX27","Michael Cloud","$682749","Eric Holguin","$198801","More than 2:1 and Up to 5:1"
"CA07","Ami Bera","$1727819","Andrew Grant","$545065","More than 2:1 and Up to 5:1"
"FL08","Bill Posey","$1084251","Sanjay Patel","$336765","More than 2:1 and Up to 5:1"
"IA02","David Loebsack","$2362382","Christopher Peters","$742852","More than 2:1 and Up to 5:1"
"NC08","Richard Hudson","$2086060","Frank McNeill","$648020","More than 2:1 and Up to 5:1"
"NY03","Tom Suozzi","$1435766","Dan Debono","$453209","More than 2:1 and Up to 5:1"
"AL03","Mike D Rogers","$1347846","Mallory Hagan","$433331","More than 2:1 and Up to 5:1"
"KS01","Roger Marshall","$630635","Alan LaPolice","$209915","More than 2:1 and Up to 5:1"
"NJ05","Josh Gottheimer","$2766992","John McCann","$934844","More than 2:1 and Up to 5:1"
"CA36","Raul Ruiz","$2468444","Kimberlin Brown Pelzer","$842270","More than 2:1 and Up to 5:1"
"FL07","Stephanie Murphy","$3117029","Mike Miller","$1087194","More than 2:1 and Up to 5:1"
"MO04","Vicky Hartzler","$1330546","Renee Hoagenson","$453280","More than 2:1 and Up to 5:1"
"FL12","Gus Bilirakis","$2093124","Chris Hunter","$755053","More than 2:1 and Up to 5:1"
"OH02","Brad Wenstrup","$1596661","Jill Schiller","$585050","More than 2:1 and Up to 5:1"
"VA11","Gerry Connolly","$1657085","Jeff Dove","$620021","More than 2:1 and Up to 5:1"
"NC06","Mark Walker","$803173","Ryan Watts","$311691","More than 2:1 and Up to 5:1"
"OH04","Jim Jordan","$1830319","Janet Garrett","$699370","More than 2:1 and Up to 5:1"
"MI06","Fred Upton","$3553344","Matt Longjohn","$1443957","More than 2:1 and Up to 5:1"
"TX25","Roger Williams","$1634271","Julie Oliver","$644928","More than 2:1 and Up to 5:1"
"CO05","Douglas L Lamborn","$779699","Stephany Rose Spaulding","$326518","More than 2:1 and Up to 5:1"
"CT04","Jim Himes","$1683479","Harry Arora","$713073","More than 2:1 and Up to 5:1"
"MT01","Greg Gianforte","$9544232","Kathleen Williams","$3986510","More than 2:1 and Up to 5:1"
"SC03","Jeff Duncan","$713716","Mary Geren","$308127","More than 2:1 and Up to 5:1"
"WA04","Dan Newhouse","$1053583","Christine Brown","$464482","More than 2:1 and Up to 5:1"
"TN03","Chuck Fleischmann","$593795","Danielle Mitchell","$283750","More than 2:1 and Up to 5:1"
"UT02","Chris Stewart","$922564","Shireen Ghorbani","$442438","More than 2:1 and Up to 5:1"
"AZ01","Tom O'Halleran","$2714330","Wendy Rogers","$1391890","Up to 2:1"
"CA31","Pete Aguilar","$2419009","Sean Flynn","$1213452","Up to 2:1"
"NY21","Elise Stefanik","$2989478","Tedra Cobb","$1499736","Up to 2:1"
"NY23","Tom Reed","$3521221","Tracy Mitrano","$1756693","Up to 2:1"
"WI05","F James Sensenbrenner Jr.","$481767","Tom Palzewicz","$245310","Up to 2:1"
"AZ05","Andy Biggs","$374465","Joan Greene","$199163","Up to 2:1"
"CA16","Jim Costa","$2338228","Elizabeth Heng","$1235784","Up to 2:1"
"PA16","Mike Kelly","$3269743","Ron DiNicola","$1685851","Up to 2:1"
"MO02","Ann L Wagner","$4186824","Cort Vanostran","$2337962","Up to 2:1"
"NC02","George Holding","$2842764","Linda Coleman","$1603052","Up to 2:1"
"WV02","Alex Mooney","$1201083","Talley Sergent","$673595","Up to 2:1"
"FL16","Vernon Buchanan","$4293847","David Shapiro","$2478559","Up to 2:1"
"FL19","Francis Rooney","$922450","David Holden","$556486","Up to 2:1"
"MI02","Bill Huizenga","$2166958","Rob Davidson","$1248766","Up to 2:1"
"KY03","John A Yarmuth","$1166943","Vickie Glisson","$711432","Up to 2:1"
"NC07","David Rouzer","$1391206","Kyle Horton","$867648","Up to 2:1"
"NY02","Pete King","$3175639","Liuba Grechen Shirley","$1948325","Up to 2:1"
"AR02","French Hill","$3536453","Clarke Tucker","$2347833","Up to 2:1"
"CA24","Salud Carbajal","$2049907","Justin Fareed","$1490084","Up to 2:1"
"CA43","Maxine Waters","$1385227","Omar Navarro","$1024730","Up to 2:1"
"NY27","Chris Collins","$1811513","Nate McMurray","$1252822","Up to 2:1"
"CA22","Devin Nunes","$11556367","Andrew Janz","$9064633","Up to 2:1"
"FL18","Brian Mast","$6018840","Lauren Baer","$4595154","Up to 2:1"
"IN03","Jim Banks","$1114793","Courtney Tritch","$849289","Up to 2:1"
"FL25","Mario Diaz-Balart","$2604948","Mary Barzee Flores","$2170176","Up to 2:1"
"OH10","Michael R Turner","$1459281","Theresa Gasper","$1190600","Up to 2:1"
"OH14","David P Joyce","$2684203","Betsy Rader","$2220459","Up to 2:1"
"TX22","Pete Olson","$1921992","Sri Kulkarni","$1539576","Up to 2:1"
"VA09","Morgan Griffith","$1242257","Anthony Flaccavento","$1059688","Up to 2:1"
"AZ04","Paul Gosar","$566397","David Brill","$509386","Up to 2:1"
"KS04","Ron Estes","$1561071","James Thompson","$1466834","Up to 2:1"
"MI01","John Bergman","$1431527","Matt Morgan","$1341465","Up to 2:1"
"NY24","John Katko","$2998195","Dana Balter","$2687232","Up to 2:1"
"PA08","Matt Cartwright","$2527688","John Chrin","$2276321","Up to 2:1"
"TX36","Brian Babin","$975802","Dayna Steele","$878740","Up to 2:1"
"CA01","Doug LaMalfa","$1089951","Audrey Denney","$1067211","Up to 2:1"
"MD01","Andy Harris","$1889209","Jesse Colvin","$1805297","Up to 2:1"
"NE02","Don Bacon","$2570644","Kara Eastman","$2539506","Up to 2:1"
"SC05","Ralph Norman","$1999306","Archie Parnell","$1992815","Up to 2:1"
"NY01","Lee Zeldin","$4795666","Perry Gershon","$5017206","Outspent less than 2:1"
"WA05","Cathy McMorris Rodgers","$5633922","Lisa Brown","$5662929","Outspent less than 2:1"
"CO03","Scott Tipton","$1656976","Diane Mitsch Bush","$1882896","Outspent less than 2:1"
"IL13","Rodney Davis","$4001341","Betsy Dirksen Londrigan","$4215542","Outspent less than 2:1"
"MI07","Tim Walberg","$2263665","Gretchen Driskell","$2661085","Outspent less than 2:1"
"NJ04","Chris Smith","$1546875","Josh Welle","$1841329","Outspent less than 2:1"
"PA11","Lloyd Smucker","$1567692","Jess King","$1865892","Outspent less than 2:1"
"TX23","Will Hurd","$5158925","Gina Jones","$6078461","Outspent less than 2:1"
"OH01","Steve Chabot","$3026091","Aftab Pureval","$4065462","Outspent less than 2:1"
"PA10","Scott Perry","$1629969","George Scott","$2176059","Outspent less than 2:1"
"WA03","Jaime Herrera Beutler","$2986159","Carolyn Long","$3826931","Outspent less than 2:1"
"AK01","Don Young","$1380290","Alyse Galvin","$1931150","Outspent less than 2:1"
"CO04","Ken Buck","$651118","Karen McCormick","$891689","Outspent less than 2:1"
"IL12","Mike Bost","$2858336","Brendan Kelly","$3885179","Outspent less than 2:1"
"IN02","Jackie Walorski","$2827883","Mel Hall","$4046132","Outspent less than 2:1"
"KY06","Andy Barr","$5580477","Amy McGrath","$8274396","Outspent less than 2:1"
"MA09","Bill Keating","$568732","Peter Tedeschi","$853009","Outspent less than 2:1"
"OH07","Bob Gibbs","$1842763","Ken Harbaugh","$3006632","Outspent less than 2:1"
"IN09","Trey Hollingsworth","$1464567","Liz Watson","$2476247","Outspent less than 2:1"
"GA07","Rob Woodall","$1513535","Carolyn Bourdeaux","$2765539","Outspent less than 2:1"
"NC13","Ted Budd","$2250414","Kathy Manning","$4182467","Outspent less than 2:1"
"WI06","Glenn S Grothman","$1806314","Dan Kohl","$3405190","Outspent less than 2:1"
"CA04","Tom McClintock","$1783774","Jessica Morse","$3666669","Outspent 2:1 to 5:1"
"TN04","Scott Desjarlais","$271467","Mariah Phillips","$561654","Outspent 2:1 to 5:1"
"AZ08","Debbie Lesko","$2002589","Hiral Tipirneni","$4375414","Outspent 2:1 to 5:1"
"CA50","Duncan D Hunter","$1808791","Ammar Campa-Najjar","$4002823","Outspent 2:1 to 5:1"
